Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
2,13:26,2,13,DAL 23,0,7,Dak Prescott pass incomplete short right intended for Terrance Williams,-0.280,-0.960
2,13:20,3,13,DAL 23,0,7,Dak Prescott pass complete short right to Ezekiel Elliott for 4 yards (tackle by Tyrann Mathieu),-0.960,-1.570
2,12:44,4,9,DAL 27,0,7,Chris Jones punts 29 yards,-1.570,-1.860
2,12:34,1,10,ARI 44,0,7,Carson Palmer pass incomplete short right intended for JJ Nelson (defended by Xavier Woods),1.860,1.320
2,12:30,2,10,ARI 44,0,7,Chris Johnson middle for 5 yards (tackle by Demarcus Lawrence),1.320,1.290
2,11:51,3,5,ARI 49,0,7,Carson Palmer pass complete short left to Larry Fitzgerald for 5 yards (tackle by Xavier Woods),1.290,2.520
2,11:09,1,10,DAL 46,0,7,Chris Johnson right end for 3 yards (tackle by Maliek Collins and Damontre Moore),2.520,2.380
2,10:24,2,7,DAL 43,0,7,Carson Palmer pass complete short left to Jermaine Gresham for 2 yards (tackle by Xavier Woods),2.380,1.950
2,9:43,3,5,DAL 41,0,7,Carson Palmer pass incomplete short left intended for Jermaine Gresham (defended by Byron Jones),1.950,0.530
2,9:36,4,5,DAL 41,0,7,Andy Lee punts 35 yards,0.530,0.380
2,9:28,1,10,DAL 6,0,7,Dak Prescott pass complete short left to Terrance Williams for 8 yards (tackle by Karlos Dansby),-0.380,-0.170
2,8:57,2,2,DAL 14,0,7,Ezekiel Elliott middle for 1 yard (tackle by Tyvon Branch),-0.170,-0.370
2,8:20,3,1,DAL 15,0,7,Ezekiel Elliott middle for 30 yards (tackle by Patrick Peterson),-0.370,1.930
2,7:33,1,10,DAL 45,0,7,"Penalty on James Hanna: False Start, 5 yards (no play)",1.930,1.600
2,7:12,1,15,DAL 40,0,7,Ezekiel Elliott left end for 2 yards (tackle by Olsen Pierre),1.600,0.980
2,6:34,2,13,DAL 42,0,7,"Dak Prescott pass incomplete short right intended for Cole Beasley. Penalty on Robert Nkemdiche: Defensive Offside, 5 yards (no play)",0.980,1.650
2,6:27,2,8,DAL 47,0,7,"Penalty on Chaz Green: False Start, superseded. PENALTY, 15 yards (no play)",1.650,3.050
2,6:27,1,10,ARI 38,0,7,Ezekiel Elliott middle for 1 yard (tackle by Chandler Jones),3.050,2.640
2,5:44,2,9,ARI 37,0,7,Dak Prescott pass complete short right to Dez Bryant for -3 yards (tackle by Tyvon Branch),2.640,1.550
2,5:07,3,12,ARI 40,0,7,Dak Prescott sacked by Chandler Jones for -9 yards,1.550,0.000
2,4:32,4,21,ARI 49,0,7,"Chris Jones punts 39 yards, fair catch by Kerwynn Williams",0.000,0.380
2,4:24,1,10,ARI 10,0,7,Chris Johnson left end for -1 yards (tackle by Sean Lee),-0.380,-0.850
2,3:42,2,11,ARI 9,0,7,Carson Palmer pass complete short left to Larry Fitzgerald for 3 yards (tackle by Jourdan Lewis),-0.850,-1.190
2,3:08,3,8,ARI 12,0,7,Carson Palmer sacked by Maliek Collins for -7 yards,-1.190,-2.490
2,2:35,4,15,ARI 5,0,7,"Andy Lee punts 49 yards, returned by Ryan Switzer for 21 yards (tackle by Elijhaa Penny)",-2.490,-3.380
2,2:21,1,10,ARI 33,0,7,"Penalty on Markus Golden: Defensive Offside, 5 yards (no play)",3.380,4.110
2,2:21,1,5,ARI 28,0,7,Ezekiel Elliott middle for no gain (tackle by Markus Golden),4.110,3.510
2,2:00,2,5,ARI 28,0,7,"Dak Prescott pass incomplete deep right intended for Cole Beasley. Penalty on Patrick Peterson: Defensive Holding, 5 yards (no play)",3.510,4.040
2,1:54,1,10,ARI 23,0,7,Dak Prescott pass complete short middle to Noah Brown for 13 yards (tackle by Tyrann Mathieu),4.040,4.910
2,1:16,1,10,ARI 10,6,7,"Dak Prescott right tackle for 10 yards, touchdown",4.910,7.000
2,1:11,,,ARI 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
2,1:11,,,DAL 35,7,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,1:11,1,10,ARI 25,7,7,"Carson Palmer sacked by Demarcus Lawrence for -5 yards. Penalty on Sean Lee: Illegal Contact, 5 yards (no play)",0.610,0.940
2,1:06,1,10,ARI 30,7,7,Carson Palmer sacked by Tyrone Crawford for -6 yards,0.940,-0.420
2,0:45,2,16,ARI 24,7,7,Andre Ellington left tackle for 6 yards (tackle by Tyrone Crawford),-0.420,-0.300
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,7,7,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,DAL 25,7,7,Dak Prescott pass complete short right to Ezekiel Elliott for no gain,0.610,0.060
3,14:23,2,10,DAL 25,7,7,Dak Prescott pass complete deep right to Terrance Williams for 22 yards (tackle by Tyvon Branch),0.060,2.060
3,13:42,1,10,DAL 47,7,7,Ezekiel Elliott left guard for 3 yards (tackle by Tyvon Branch),2.060,1.920
3,13:09,2,7,,7,7,Ezekiel Elliott right tackle for 1 yard (tackle by Tyvon Branch),1.920,1.360
3,12:29,3,6,ARI 49,7,7,Dak Prescott pass incomplete short right intended for Jason Witten,1.360,0.000
3,12:23,4,6,ARI 49,7,7,"Chris Jones punts 42 yards, fair catch by Kerwynn Williams",0.000,0.380
3,12:15,1,10,ARI 7,7,7,Chris Johnson right guard for 5 yards (tackle by Demarcus Lawrence),-0.380,-0.420
3,11:41,2,5,ARI 12,7,7,Carson Palmer sacked by Demarcus Lawrence for -6 yards,-0.420,-1.540
3,10:59,3,11,ARI 6,7,7,Carson Palmer pass incomplete short left intended for Jermaine Gresham,-1.540,-2.490
3,10:54,4,11,ARI 6,7,7,"Andy Lee punts 39 yards, returned by Ryan Switzer for 7 yards (tackle by Brandon Williams). Penalty on Kyle Wilber: Defensive Offside, 5 yards (no play)",-2.490,-2.490
3,10:44,4,6,ARI 11,7,7,"Andy Lee punts 39 yards, returned by Ryan Switzer for 4 yards (tackle by Budda Baker)",-2.490,-2.520
3,10:29,1,10,ARI 46,7,7,Ezekiel Elliott middle for 8 yards (tackle by Tyvon Branch),2.520,3.060
3,9:53,2,2,ARI 38,7,7,Ezekiel Elliott for 3 yards (tackle by Karlos Dansby),3.060,3.250
3,9:28,1,10,ARI 35,7,7,Ezekiel Elliott right end for 20 yards (tackle by Tyrann Mathieu),3.250,4.580
3,8:42,1,10,ARI 15,13,7,"Dak Prescott pass complete short middle to Dez Bryant for 15 yards, touchdown",4.580,7.000
3,8:31,,,ARI 15,14,7,Dan Bailey kicks extra point good,0.000,0.000
3,8:31,,,DAL 35,14,7,"Dan Bailey kicks off 62 yards, returned by Kerwynn Williams for 19 yards (tackle by Keith Smith)",0.000,-0.410
3,8:25,1,10,ARI 22,14,7,Chris Johnson middle for 5 yards (tackle by Sean Lee),0.410,0.540
3,7:46,2,5,ARI 27,14,7,Carson Palmer pass complete short left to Chris Johnson for 4 yards (tackle by Jaylon Smith),0.540,0.370
3,7:06,3,1,ARI 31,14,7,Carson Palmer pass complete short left to Jermaine Gresham for 4 yards (tackle by Jeff Heath),0.370,1.270
3,6:39,1,10,ARI 35,14,7,Kerwynn Williams middle for 3 yards (tackle by Brian Price),1.270,1.130
3,6:04,2,7,ARI 38,14,7,Carson Palmer pass incomplete short left intended for Chris Johnson,1.130,0.430
3,5:59,3,7,ARI 38,14,7,Carson Palmer pass incomplete deep left intended for Jaron Brown (defended by Jourdan Lewis),0.430,-0.850
3,5:53,4,7,ARI 38,14,7,"Andy Lee punts 51 yards, fair catch by Ryan Switzer",-0.850,0.370
3,5:45,1,10,DAL 11,14,7,Ezekiel Elliott middle for no gain (tackle by Corey Peters),-0.370,-0.780
3,5:06,2,10,DAL 11,14,7,Dak Prescott pass incomplete short left intended for Jason Witten,-0.780,-1.420
3,5:01,3,10,DAL 11,14,7,Dak Prescott pass incomplete short right intended for Jason Witten,-1.420,-2.490
3,4:54,4,10,DAL 11,14,7,"Chris Jones punts 43 yards, out of bounds",-2.490,-1.990
3,4:45,1,10,ARI 46,14,7,Carson Palmer pass complete deep left to Larry Fitzgerald for 37 yards (tackle by Orlando Scandrick),1.990,4.440
3,4:00,1,10,DAL 17,14,7,Carson Palmer pass complete short left to Jaron Brown for 2 yards (tackle by Jourdan Lewis),4.440,4.150
3,3:21,2,8,DAL 15,14,13,"Carson Palmer pass complete short right to Larry Fitzgerald for 15 yards, touchdown. Penalty on Kyle Wilber: Neutral Zone Infraction, 5 yards",4.150,7.000
3,3:13,,,DAL 15,14,14,"Penalty on Kyle Wilber: Neutral Zone Infraction, 5 yards",0.000,0.000
3,3:13,,,DAL 15,14,14,Phil Dawson kicks extra point good,0.000,0.000
3,3:13,,,ARI 40,14,14,"Phil Dawson kicks off 55 yards, returned by Ryan Switzer for 18 yards (tackle by Elijhaa Penny)",0.000,-0.480
3,3:08,1,10,DAL 23,14,14,Dak Prescott pass complete deep left to Terrance Williams for 17 yards,0.480,1.600
3,2:46,1,10,DAL 40,14,14,Ezekiel Elliott right end for -4 yards (tackle by Haason Reddick),1.600,0.510
3,2:04,2,14,DAL 36,14,14,Dak Prescott pass incomplete short middle intended for Ezekiel Elliott,0.510,-0.160
3,1:58,3,14,DAL 36,14,14,Dak Prescott pass complete short middle to Ezekiel Elliott for 10 yards (tackle by Antoine Bethea and Tyvon Branch),-0.160,-0.320
3,1:16,4,4,DAL 46,14,14,Chris Jones punts 50 yards,-0.320,0.380
3,1:05,1,10,ARI 4,14,14,Chris Johnson left tackle for 3 yards (tackle by Jaylon Smith and Byron Jones),-0.380,-0.560
3,0:26,2,7,ARI 7,14,14,Carson Palmer pass complete short left to Andre Ellington for 6 yards (tackle by Jourdan Lewis),-0.560,-0.370
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,ARI 13,14,14,Carson Palmer pass incomplete short middle intended for Jaron Brown,-0.370,-2.490
4,14:55,4,1,ARI 13,14,14,"Andy Lee punts 39 yards, returned by Ryan Switzer for 2 yards (tackle by Aaron Brewer)",-2.490,-2.260
4,14:45,1,10,,14,14,Ryan Switzer left end for 3 yards (tackle by Tyvon Branch),2.260,2.120
4,14:03,2,7,ARI 47,14,14,Ezekiel Elliott middle for 4 yards (tackle by Robert Nkemdiche and Karlos Dansby),2.120,0.000
4,13:17,,,,,,Timeout #1 by Dallas Cowboys,0.000,-1.950
4,13:17,3,3,ARI 43,14,14,Dak Prescott pass complete short left to Cole Beasley for 4 yards (tackle by Tyvon Branch),1.950,2.980
4,12:44,1,10,ARI 39,14,14,Ezekiel Elliott middle for 2 yards (tackle by Corey Peters),2.980,2.710
4,12:03,2,8,ARI 37,20,14,"Dak Prescott pass complete deep right to Brice Butler for 37 yards, touchdown",2.710,7.000
4,11:52,,,ARI 15,21,14,Dan Bailey kicks extra point good,0.000,0.000
4,11:52,,,DAL 35,21,14,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
4,11:52,1,10,ARI 25,21,14,Carson Palmer pass incomplete short right intended for Andre Ellington,0.610,0.060
4,11:44,2,10,ARI 25,21,14,Carson Palmer pass complete short middle to Jermaine Gresham for 16 yards (tackle by Byron Jones). Penalty on Byron Jones: Defensive Holding (Declined),0.060,1.660
4,11:17,1,10,ARI 41,21,14,Carson Palmer pass incomplete short middle intended for Andre Ellington,1.660,1.120
4,11:11,2,10,ARI 41,21,14,"Andre Ellington middle for 2 yards (tackle by Sean Lee). Penalty on Jermaine Gresham: Offensive Holding, 10 yards",1.120,0.040
4,10:49,2,18,ARI 33,21,14,Carson Palmer pass incomplete short right intended for JJ Nelson,0.040,-0.630
,,,,,,,"ARI challenged the incomplete pass ruling, and the play was upheld.",,
4,10:39,3,18,ARI 33,21,14,Carson Palmer pass complete deep left to Larry Fitzgerald for 24 yards (tackle by Orlando Scandrick),-0.630,2.720
,,,,,,,"DAL challenged the pass completion ruling, and the play was upheld.",,
4,10:13,1,10,DAL 43,21,14,Andre Ellington middle for 5 yards (tackle by Jaylon Smith),2.720,2.850
4,9:38,2,5,DAL 38,21,14,Carson Palmer pass incomplete deep left intended for JJ Nelson,2.850,2.150
4,9:32,3,5,DAL 38,21,14,Carson Palmer pass complete short right to Chad Williams for 8 yards (tackle by Anthony Brown),2.150,3.580
4,8:58,1,10,DAL 30,21,14,Carson Palmer pass complete short left to Andre Ellington for 5 yards (tackle by Jourdan Lewis),3.580,3.710
4,8:23,2,5,DAL 25,21,14,Andre Ellington middle for 4 yards (tackle by Jaylon Smith and Brian Price),3.710,3.530
4,7:41,3,1,DAL 21,21,14,Carson Palmer middle for 2 yards (tackle by Maliek Collins),3.530,4.310
4,6:59,1,10,DAL 19,21,14,Carson Palmer pass incomplete short left intended for Jaron Brown,4.310,3.750
4,6:51,2,10,DAL 19,21,14,Carson Palmer pass incomplete deep left intended for Larry Fitzgerald,3.750,3.030
4,6:45,3,10,DAL 19,21,14,Carson Palmer pass incomplete short right intended for Brittan Golden,3.030,2.180
4,6:40,4,10,DAL 19,21,17,Phil Dawson 37 yard field goal good,2.180,3.000
4,6:35,,,ARI 35,21,17,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
4,6:35,1,10,DAL 25,21,17,Dak Prescott pass complete deep right to Brice Butler for 53 yards (tackle by Tyrann Mathieu),0.610,4.110
4,6:20,1,10,ARI 22,21,17,Dak Prescott middle for 7 yards (tackle by Tyvon Branch),4.110,4.650
4,5:44,2,3,ARI 15,21,17,Ezekiel Elliott left tackle for 7 yards (tackle by Josh Bynes),4.650,5.370
4,5:03,1,8,ARI 8,27,17,"Ezekiel Elliott right tackle for 8 yards, touchdown",5.370,7.000
4,4:57,,,ARI 15,28,17,Dan Bailey kicks extra point good,0.000,0.000
4,4:57,,,DAL 35,28,17,"Dan Bailey kicks off 65 yards, touchback",0.000,0.000
4,4:57,,,,,,Timeout #3 by Dallas Cowboys,0.000,-0.610
4,4:57,1,10,ARI 25,28,17,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald,0.610,0.060
4,4:52,2,10,ARI 25,28,17,Carson Palmer sacked by Maliek Collins for -5 yards,0.060,-1.290
4,4:22,3,15,ARI 20,28,17,Carson Palmer pass incomplete deep left intended for Jaron Brown,-1.290,-2.030
4,4:15,4,15,ARI 20,28,17,"Andy Lee punts 58 yards, returned by Ryan Switzer for 16 yards (tackle by Tyvon Branch)",-2.030,-1.470
4,4:03,1,10,DAL 38,28,17,Ezekiel Elliott middle for 4 yards (tackle by Corey Peters),1.470,0.000
4,3:57,,,,,,Timeout #2 by Arizona Cardinals,0.000,-1.460
4,3:57,2,6,DAL 42,28,17,Ezekiel Elliott middle for 1 yard (tackle by Markus Golden),1.460,0.000
4,3:52,,,,,,Timeout #3 by Arizona Cardinals,0.000,-0.890
4,3:52,3,5,DAL 43,28,17,Ezekiel Elliott right tackle for -8 yards (tackle by Markus Golden),0.890,-1.040
4,3:05,4,13,DAL 35,28,17,"Chris Jones punts 52 yards, returned by Patrick Peterson for no gain",-1.040,0.320
4,2:57,1,10,ARI 13,28,17,"Penalty on Demarcus Lawrence: Defensive Offside, 5 yards (no play)",-0.320,0.400
4,2:57,1,5,ARI 18,28,17,Carson Palmer pass complete deep right to Larry Fitzgerald for 24 yards (tackle by Kavon Frazier),0.400,1.730
4,2:24,1,10,ARI 42,28,17,Carson Palmer sacked by Demarcus Lawrence for -11 yards,1.730,-0.300
4,2:00,2,21,ARI 31,28,17,"Carson Palmer pass incomplete deep left intended for Chad Williams. Penalty on Orlando Scandrick: Defensive Pass Interference, 34 yards (no play)",-0.300,3.250
4,1:53,1,10,DAL 35,28,17,Carson Palmer pass complete short left to Andre Ellington for 11 yards (tackle by Sean Lee). Penalty on Byron Jones: Defensive Holding (Declined),3.250,3.970
4,1:46,1,10,DAL 24,28,17,Carson Palmer sacked by Demarcus Lawrence for -7 yards,3.970,2.490
4,1:24,2,17,DAL 31,28,17,Carson Palmer pass complete short right to Brittan Golden for 21 yards (tackle by Jaylon Smith),2.490,4.910
4,1:17,1,10,DAL 10,28,17,"Carson Palmer pass incomplete short right intended for Jaron Brown. Penalty on Anthony Brown: Defensive Holding, 5 yards (no play)",4.910,6.060
4,1:11,1,5,DAL 5,28,17,Carson Palmer pass incomplete short left intended for Brittan Golden,6.060,5.150
4,1:06,2,5,DAL 5,28,17,Carson Palmer pass incomplete short middle intended for Andre Ellington,5.150,4.260
4,1:01,3,5,DAL 5,28,17,Carson Palmer pass complete short right to Larry Fitzgerald for 3 yards (tackle by Xavier Woods),4.260,3.250
4,0:40,4,2,DAL 2,28,17,Carson Palmer pass incomplete short middle intended for Jermaine Gresham (defended by Byron Jones),3.250,0.380
4,0:36,1,10,DAL 3,28,17,Dak Prescott kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
