Unnamed: 0,DEN,LAC
First Downs,16,26
Rush-Yds-TDs,19-108-3,26-95-0
Cmp-Att-Yd-TD-INT,20-33-217-0-0,28-43-401-2-2
Sacked-Yards,0-0,3-17
Net Pass Yards,217,384
Total Yards,325,479
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,7-43,14-120
Third Down Conv.,3-10,9-15
Fourth Down Conv.,1-2,0-0
Time of Possession,22:11,37:49
