Unnamed: 0,CAR,DEN
First Downs,12,23
Rush-Yds-TDs,26-64-1,37-210-0
Cmp-Att-Yd-TD-INT,13-20-173-1-0,17-29-226-2-2
Sacked-Yards,1-10,1-2
Net Pass Yards,163,224
Total Yards,227,434
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,9-88,4-37
Third Down Conv.,5-12,4-10
Fourth Down Conv.,0-0,0-1
Time of Possession,26:51,33:09
