Quarter,Time,Tm,Detail,CAR,DEN
1.0,10:43,Broncos,Jason Elam 32 yard field goal,0,3
,5:55,Broncos,Jason Elam 33 yard field goal,0,6
2.0,5:26,Panthers,Keary Colbert 26 yard pass from Jake Delhomme (John Kasay kick),7,6
,2:17,Panthers,John Kasay 53 yard field goal,10,6
,0:52,Broncos,Reuben Droughns 5 yard pass from Jake Plummer (Jason Elam kick),10,13
3.0,5:03,Panthers,Jake Delhomme 1 yard rush (John Kasay kick),17,13
4.0,9:42,Broncos,Ashley Lelie 39 yard pass from Jake Plummer (Jason Elam kick),17,20
