Quarter,Time,Tm,Detail,PIT,CLE
2.0,6:26,Steelers,Hines Ward 11 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
3.0,7:58,Steelers,Jeff Reed 48 yard field goal,10,0
,1:25,Browns,Phil Dawson 31 yard field goal,10,3
4.0,3:21,Browns,Phil Dawson 38 yard field goal,10,6
