Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 74 yards, returned by Stefan Logan for 20 yards (tackle by Quinn Johnson). Penalty on Turk McBride: Offensive Holding, 8 yards",0.000,-0.380
1,14:55,1,10,DET 8,0,0,Maurice Morris left end for 7 yards (tackle by Desmond Bishop),-0.380,-0.210
1,14:21,2,3,DET 15,0,0,Drew Stanton pass incomplete short right intended for Calvin Johnson,-0.210,-0.600
1,14:17,3,3,DET 15,0,0,Drew Stanton pass incomplete short right intended for Calvin Johnson,-0.600,-2.440
1,14:11,4,3,DET 15,0,0,"Nick Harris punts 39 yards, fair catch by Tramon Williams",-2.440,-1.990
1,14:03,1,10,GNB 46,0,0,Aaron Rodgers pass complete short left to Greg Jennings for 2 yards (tackle by Brandon McDonald),1.990,1.720
1,13:34,2,8,GNB 48,0,0,"Penalty on Cliff Avril: Neutral Zone Infraction, 5 yards (no play)",1.720,2.400
1,13:26,2,3,DET 47,0,0,"Aaron Rodgers pass complete short right to Andrew Quarless for 12 yards (tackle by Landon Johnson). Andrew Quarless fumbles (forced by Landon Johnson), recovered by Brandon McDonald at DET-33 (tackle by Daryn Colledge)",2.400,-0.810
1,13:15,1,10,DET 28,0,0,Stefan Logan left tackle for 9 yards (tackle by A.J. Hawk),0.810,1.480
1,12:40,2,1,DET 37,0,0,Maurice Morris middle for 3 yards (tackle by Desmond Bishop),1.480,1.600
1,12:08,1,10,DET 40,0,0,Drew Stanton left end for 15 yards (tackle by Sam Shields),1.600,2.590
1,11:33,1,10,GNB 45,0,0,Maurice Morris left tackle for 8 yards (tackle by Sam Shields),2.590,3.120
1,10:58,2,2,GNB 37,0,0,Jerome Felton middle for 5 yards (tackle by Desmond Bishop),3.120,3.450
