Unnamed: 0,CHI,MIN
First Downs,14,29
Rush-Yds-TDs,24-78-1,31-117-3
Cmp-Att-Yd-TD-INT,15-21-208-1-0,33-42-319-1-1
Sacked-Yards,2-15,1-7
Net Pass Yards,193,312
Total Yards,271,429
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,6-40,7-70
Third Down Conv.,4-10,12-15
Fourth Down Conv.,1-1,0-0
Time of Possession,23:16,36:44
