Unnamed: 0,PIT,CIN
First Downs,22,11
Rush-Yds-TDs,29-167-1,21-80-1
Cmp-Att-Yd-TD-INT,27-38-278-1-1,14-28-105-1-1
Sacked-Yards,3-14,0-0
Net Pass Yards,264,105
Total Yards,431,185
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,5-50,2-20
Third Down Conv.,10-16,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,37:30,22:30
