Unnamed: 0,CLE,NYJ
First Downs,16,13
Rush-Yds-TDs,21-70-1,24-93-0
Cmp-Att-Yd-TD-INT,19-35-325-1-1,23-31-201-0-0
Sacked-Yards,3-20,4-32
Net Pass Yards,305,169
Total Yards,375,262
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,9-85,12-89
Third Down Conv.,4-13,2-14
Fourth Down Conv.,0-0,0-2
Time of Possession,29:41,30:19
