Quarter,Time,Tm,Detail,CLE,NYJ
1.0,10:27,Browns,Austin Seibert 23 yard field goal,3,0
,6:15,Browns,Austin Seibert 48 yard field goal,6,0
2.0,10:16,Browns,Nick Chubb 19 yard rush (Austin Seibert kick),13,0
,2:56,Jets,Sam Ficken 46 yard field goal,13,3
,0:00,Browns,Austin Seibert 43 yard field goal,16,3
3.0,3:32,Browns,Odell Beckham Jr. 89 yard pass from Baker Mayfield (Austin Seibert kick),23,3
