Quarter,Time,Down,ToGo,Location,CLE,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Sam Ficken kicks off 69 yards, returned by Taywan Taylor for 23 yards (tackle by Trenton Cannon)",0.000,0.150
1,14:56,1,10,CLE 19,0,0,Nick Chubb right guard for 8 yards (tackle by Jordan Jenkins and Leonard Williams),0.150,0.750
1,14:19,2,2,CLE 27,0,0,Nick Chubb left tackle for 4 yards (tackle by Henry Anderson and Blake Cashman),0.750,1.000
1,13:35,1,10,CLE 31,0,0,Baker Mayfield pass complete short right to Jarvis Landry for 7 yards (tackle by Blake Cashman),1.000,1.410
1,12:53,2,3,CLE 38,0,0,Baker Mayfield pass incomplete short left intended for Jarvis Landry,1.410,0.700
1,12:49,3,3,CLE 38,0,0,Baker Mayfield pass complete deep left to D'Ernest Johnson for 27 yards (tackle by Neville Hewitt). Penalty on Brian Poole: Defensive Holding (Declined),0.700,3.250
1,12:15,1,10,NYJ 35,0,0,Nick Chubb up the middle for -2 yards (tackle by Blake Cashman),3.250,2.430
1,11:32,2,12,NYJ 37,0,0,Baker Mayfield pass complete deep right to Odell Beckham for 33 yards (tackle by Nate Hairston),2.430,6.280
1,11:23,1,4,NYJ 4,0,0,Nick Chubb up the middle for -1 yards (tackle by Harvey Langi and Leonard Williams),6.280,5.150
1,10:40,2,5,NYJ 5,0,0,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Brian Poole),5.150,4.260
1,10:37,3,5,NYJ 5,0,0,Baker Mayfield pass incomplete short right,4.260,3.010
1,10:30,4,5,NYJ 5,3,0,Austin Seibert 23 yard field goal good,3.010,3.000
1,10:27,,,CLE 35,3,0,"Austin Seibert kicks off 64 yards, returned by Trenton Cannon for 14 yards (tackle by Sheldrick Redwine)",0.000,-0.220
1,10:22,1,10,NYJ 15,3,0,Le'Veon Bell up the middle for 5 yards (tackle by Sheldon Richardson),-0.220,0.080
1,9:49,2,5,NYJ 20,3,0,Trevor Siemian sacked by Myles Garrett for -7 yards,0.080,-1.640
1,9:08,3,12,NYJ 13,3,0,Trevor Siemian pass incomplete short right,-1.640,-2.490
1,8:58,4,12,NYJ 13,3,0,"Lac Edwards punts 55 yards, returned by Jarvis Landry for 16 yards (tackle by Thomas Hennessy)",-2.490,-2.130
1,8:47,1,10,CLE 48,3,0,Nick Chubb right guard for 2 yards (tackle by Bronson Kaufusi),2.130,1.850
1,8:06,2,8,CLE 50,3,0,Baker Mayfield pass incomplete short right intended for David Njoku (defended by Nate Hairston),1.850,1.160
1,7:58,3,8,CLE 50,3,0,"Baker Mayfield pass incomplete deep left intended for Demetrius Harris. Penalty on Jamal Adams: Roughing the Passer, 15 yards (no play)",1.160,3.250
1,7:52,1,10,NYJ 35,3,0,Nick Chubb up the middle for 1 yard (tackle by Tarell Basham and Blake Cashman),3.250,2.840
1,7:10,2,9,NYJ 34,3,0,Baker Mayfield pass complete short left to Demetrius Harris for 4 yards (tackle by Darryl Roberts),2.840,2.680
1,6:25,3,5,NYJ 30,3,0,Baker Mayfield pass incomplete deep left intended for Odell Beckham,2.680,1.450
1,6:19,4,5,NYJ 30,6,0,Austin Seibert 48 yard field goal good,1.450,3.000
1,6:15,,,CLE 35,6,0,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
1,6:15,1,10,NYJ 25,6,0,Le'Veon Bell up the middle for 4 yards (tackle by Larry Ogunjobi and Myles Garrett),0.610,0.600
1,5:41,2,6,NYJ 29,6,0,Trevor Siemian pass incomplete deep right intended for Jamison Crowder,0.600,-0.100
1,5:36,3,6,NYJ 29,6,0,Trevor Siemian pass incomplete deep left intended for Demaryius Thomas,-0.100,-1.440
1,5:30,4,6,NYJ 29,6,0,"Lac Edwards punts 51 yards, returned by Jarvis Landry for 18 yards (tackle by Rontez Miles and Trenton Cannon). Penalty on Chad Thomas: Illegal Block Above the Waist, 10 yards",-1.440,-0.810
