Quarter,Time,Tm,Detail,KAN,ARI
1.0,10:55,Cardinals,Chandler Catanzaro 44 yard field goal,0,3
,9:35,Chiefs,Jamaal Charles 63 yard rush (Cairo Santos kick),7,3
2.0,7:43,Cardinals,Chandler Catanzaro 33 yard field goal,7,6
,1:12,Chiefs,Jamaal Charles 18 yard pass from Alex Smith (Cairo Santos kick),14,6
3.0,9:02,Cardinals,Chandler Catanzaro 39 yard field goal,14,9
,3:26,Cardinals,Jaron Brown 26 yard pass from Drew Stanton (John Carlson pass from Drew Stanton),14,17
