Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 30,7,3,Marion Grice left tackle for 8 yards (tackle by Sean Smith),0.940,1.470
2,14:17,2,2,ARI 38,7,3,Drew Stanton pass incomplete short right intended for Larry Fitzgerald,1.470,0.760
2,14:12,3,2,ARI 38,7,3,Drew Stanton pass complete short right to Rob Housler for 20 yards (tackle by Ron Parker),0.760,2.790
2,13:35,1,10,KAN 42,7,3,Drew Stanton pass incomplete short left intended for Michael Floyd (defended by Sean Smith),2.790,2.240
2,13:30,2,10,KAN 42,7,3,Drew Stanton pass complete short left to Ted Ginn for 8 yards (tackle by Tamba Hali),2.240,2.610
2,12:47,3,2,KAN 34,7,3,Drew Stanton pass complete short right to Larry Fitzgerald for 5 yards (tackle by Ron Parker and Kelcie McCray),2.610,3.640
2,12:06,1,10,KAN 29,7,3,Kerwynn Williams up the middle for 3 yards (tackle by Dontari Poe),3.640,3.510
2,11:30,2,7,KAN 26,7,3,Kerwynn Williams up the middle for 7 yards (tackle by Kurt Coleman),3.510,4.310
2,10:49,1,10,KAN 19,7,3,Drew Stanton pass complete short right to Larry Fitzgerald for 9 yards (tackle by Ron Parker),4.310,5.360
2,10:09,2,1,KAN 10,7,3,Marion Grice up the middle for 2 yards (tackle by Dontari Poe),5.360,5.370
2,9:28,1,8,KAN 8,7,3,Drew Stanton for 3 yards (tackle by Justin Houston),5.370,5.150
2,8:54,2,5,KAN 5,7,3,Marion Grice left end for -4 yards (tackle by Vance Walker),5.150,3.360
2,8:07,3,9,KAN 9,7,3,"Drew Stanton sacked by Justin Houston for -6 yards. Drew Stanton fumbles (forced by Justin Houston), recovered by Bobby Massie at KAN-15",3.360,2.440
2,7:48,4,15,KAN 15,7,6,Chandler Catanzaro 33 yard field goal good,2.440,3.000
2,7:48,,,ARI 35,7,6,"Chandler Catanzaro kicks off 70 yards, returned by De'Anthony Thomas for 39 yards (tackle by Jerraud Powers)",0.000,-1.200
2,7:36,1,10,KAN 34,7,6,Alex Smith pass complete short middle to Albert Wilson for 13 yards (tackle by Patrick Peterson),1.200,2.060
2,7:00,1,10,KAN 47,7,6,De'Anthony Thomas left end for -4 yards (tackle by Matt Shaughnessy),2.060,0.980
2,6:16,2,14,KAN 43,7,6,Alex Smith pass incomplete short right intended for Travis Kelce,0.980,0.300
2,6:11,3,14,KAN 43,7,6,Alex Smith up the middle for 21 yards (tackle by Deone Bucannon),0.300,3.180
2,5:29,1,10,ARI 36,7,6,Knile Davis right tackle for 4 yards (tackle by Calais Campbell and Larry Foote),3.180,3.180
2,4:50,2,6,ARI 32,7,6,Alex Smith up the middle for 4 yards (tackle by Patrick Peterson),3.180,3.010
2,4:07,3,2,ARI 28,7,6,Alex Smith pass complete short left to Travis Kelce for 3 yards (tackle by Tony Jefferson),3.010,3.910
2,3:31,1,10,ARI 25,7,6,"Penalty on Travis Kelce: False Start, 5 yards (no play)",3.910,3.580
2,3:05,1,15,ARI 30,7,6,Alex Smith pass complete short right to Anthony Sherman for 3 yards (tackle by Larry Foote),3.580,3.090
2,2:19,2,12,ARI 27,7,6,Alex Smith sacked by Calais Campbell for -8 yards,3.090,1.350
2,2:00,3,20,ARI 35,7,6,Alex Smith pass complete short middle to Dwayne Bowe for 22 yards (tackle by Jerraud Powers and Antonio Cromartie),1.350,4.710
2,1:19,1,10,ARI 13,7,6,"Penalty on Travis Kelce: False Start, 5 yards (no play)",4.710,4.290
2,1:19,1,15,ARI 18,13,6,"Alex Smith pass complete short right to Jamaal Charles for 18 yards, touchdown",4.290,7.000
2,1:19,,,ARI 2,14,6,Cairo Santos kicks extra point good,0.000,0.000
2,1:19,,,KAN 35,14,6,"Cairo Santos kicks off 68 yards, returned by Ted Ginn for 21 yards (tackle by Josh Martin)",0.000,-0.040
2,1:07,1,10,ARI 18,14,6,Drew Stanton pass complete deep left to Michael Floyd for 16 yards,0.040,1.200
2,1:01,1,10,ARI 34,14,6,Drew Stanton up the middle for 5 yards (tackle by Husain Abdullah),1.200,1.200
2,0:53,1,10,ARI 34,14,6,Timeout #1 by Arizona Cardinals,1.200,1.330
2,0:53,2,5,ARI 39,14,6,Drew Stanton pass incomplete short middle intended for John Brown,1.330,0.630
2,0:48,3,5,ARI 39,14,6,Drew Stanton for 10 yards (tackle by Kelcie McCray),0.630,2.190
2,0:41,1,10,ARI 49,14,6,Drew Stanton pass complete deep middle to Jaron Brown for 22 yards (tackle by Husain Abdullah),2.190,2.190
2,0:34,1,10,ARI 49,14,6,Timeout #2 by Arizona Cardinals,2.190,3.640
2,0:34,1,10,KAN 29,14,6,"Drew Stanton pass incomplete short left intended for Jaron Brown. Penalty on Husain Abdullah: Defensive Holding, 5 yards (no play)",3.640,3.970
2,0:29,1,10,KAN 24,14,6,Drew Stanton pass incomplete deep left intended for Jaron Brown (defended by Phillip Gaines),3.970,3.430
2,0:22,2,10,KAN 24,14,6,"Penalty on Ted Larsen: False Start, 5 yards (no play)",3.430,2.760
2,0:22,2,15,KAN 29,14,6,Drew Stanton pass incomplete short right intended for Michael Floyd,2.760,2.080
2,0:16,3,15,KAN 29,14,6,Drew Stanton pass complete short right to Michael Floyd for 11 yards,2.080,2.320
2,0:11,4,4,KAN 18,14,6,Chandler Catanzaro 36 yard field goal no good,2.320,-0.670
2,0:06,1,10,KAN 26,14,6,Alex Smith kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,14,6,"Chandler Catanzaro kicks off 72 yards, returned by Knile Davis for 36 yards (tackle by Chandler Catanzaro)",0.000,0.870
3,14:54,1,10,KAN 29,14,6,De'Anthony Thomas right end for 9 yards (tackle by Tony Jefferson),0.870,1.540
3,14:17,2,1,KAN 38,14,6,Jamaal Charles up the middle for 3 yards (tackle by Matt Shaughnessy),1.540,1.660
3,13:38,1,10,KAN 41,14,6,Alex Smith pass complete short right to Dwayne Bowe for 7 yards (tackle by Patrick Peterson),1.660,1.660
3,13:13,1,10,KAN 41,14,6,Timeout #1 by Arizona Cardinals,1.660,2.070
3,13:13,2,3,KAN 48,14,6,Alex Smith pass incomplete short left intended for Anthony Fasano,2.070,1.360
3,13:08,3,3,KAN 48,14,6,Jamaal Charles right end for 7 yards (tackle by Calais Campbell),1.360,2.590
3,12:27,1,10,ARI 45,14,6,Alex Smith for 2 yards (tackle by Sam Acho),2.590,2.310
3,11:54,2,8,ARI 43,14,6,Alex Smith sacked by Frostee Rucker for -6 yards,2.310,0.830
3,11:10,3,14,ARI 49,14,6,Alex Smith pass complete short middle to Travis Kelce for 10 yards (tackle by Jerraud Powers),0.830,0.830
3,10:23,3,14,ARI 49,14,6,Timeout #2 by Arizona Cardinals,0.830,0.660
3,10:23,4,4,ARI 39,14,6,Alex Smith pass incomplete short left intended for Jason Avant (defended by Larry Foote),0.660,-1.530
3,10:18,1,10,ARI 39,14,6,Drew Stanton pass incomplete deep right intended for Larry Fitzgerald,1.530,0.990
3,10:12,2,10,ARI 39,14,6,Drew Stanton pass complete deep right to Michael Floyd for 45 yards (tackle by Chris Owens),0.990,4.510
3,9:40,1,10,KAN 16,14,6,"Drew Stanton pass complete short middle to Rob Housler for no gain. Penalty on ARI: Illegal Formation, 5 yards (no play)",4.510,4.170
3,9:21,1,15,KAN 21,14,6,Drew Stanton pass incomplete short middle intended for Larry Fitzgerald (defended by Josh Mauga),4.170,3.280
3,9:17,2,15,KAN 21,14,6,Drew Stanton pass incomplete deep middle intended for Darren Fells,3.280,2.610
3,9:12,3,15,KAN 21,14,6,Drew Stanton pass incomplete deep left intended for Larry Fitzgerald,2.610,2.060
3,9:07,4,15,KAN 21,14,9,Chandler Catanzaro 39 yard field goal good,2.060,3.000
3,9:07,,,ARI 35,14,9,"Chandler Catanzaro kicks off 68 yards, returned by De'Anthony Thomas for 23 yards (tackle by Kenny Demens)",0.000,-0.280
3,8:56,1,10,KAN 20,14,9,Jamaal Charles up the middle for 1 yard (tackle by Dan Williams),0.280,-0.130
3,8:12,2,9,KAN 21,14,9,Alex Smith pass complete short right to Jason Avant for 8 yards (tackle by Jerraud Powers),-0.130,0.230
3,7:39,3,1,KAN 29,14,9,Alex Smith pass complete deep middle to Jason Avant for 41 yards (tackle by Patrick Peterson),0.230,3.580
3,7:02,1,10,ARI 30,14,9,Alex Smith pass complete short right to Travis Kelce for 11 yards (tackle by Patrick Peterson),3.580,4.310
3,6:39,1,10,ARI 19,14,9,Alex Smith pass incomplete,4.310,4.310
3,6:32,1,10,ARI 19,14,9,Timeout #1 by Kansas City Chiefs,4.310,3.750
3,6:32,2,10,ARI 19,14,9,Alex Smith sacked by Patrick Peterson for 0 yards,3.750,3.030
3,5:47,3,10,ARI 19,14,9,"Alex Smith pass complete deep middle to Anthony Fasano for 19 yards. Penalty on Anthony Fasano: Offensive Pass Interference, 10 yards (no play)",3.030,1.750
3,5:37,3,20,ARI 29,14,9,Alex Smith pass incomplete short middle intended for Albert Wilson is intercepted by Alex Okafor at ARI-32 and returned for 26 yards,1.750,-2.790
3,5:26,1,10,KAN 42,14,9,Kerwynn Williams up the middle for 9 yards (tackle by Sean Smith),2.790,3.460
3,4:54,2,1,KAN 33,14,9,Kerwynn Williams left tackle for 15 yards (tackle by Ron Parker),3.460,4.370
3,4:24,1,10,KAN 18,14,9,Drew Stanton sacked by Justin Houston for -8 yards,4.370,2.750
3,3:43,2,18,KAN 26,14,9,Drew Stanton pass incomplete short middle intended for John Brown (defended by Kurt Coleman),2.750,2.080
3,3:32,3,18,KAN 26,14,15,"Drew Stanton pass complete deep left to Jaron Brown for 26 yards, touchdown",2.080,7.000
3,3:32,,,,14,17,"Two Point Attempt: Drew Stanton pass complete to John Carlson, conversion succeeds",0.000,1.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
3,3:32,,,ARI 35,14,17,"Chandler Catanzaro kicks off 73 yards, returned by Knile Davis for 23 yards (tackle by Marcus Benard)",0.000,0.220
3,3:19,1,10,KAN 15,14,17,Alex Smith pass incomplete short left intended for Travis Kelce,-0.220,-0.710
3,3:14,2,10,KAN 15,14,17,Jamaal Charles right end for 3 yards (tackle by Larry Foote),-0.710,-1.000
3,2:30,3,7,KAN 18,14,17,Alex Smith pass incomplete short left intended for Jamaal Charles,-1.000,-2.240
3,2:25,4,7,KAN 18,14,17,"Dustin Colquitt punts 53 yards, returned by Ted Ginn for no gain",-2.240,-0.870
3,2:11,1,10,ARI 29,14,17,Kerwynn Williams left end for 9 yards (tackle by Ron Parker),0.870,1.540
3,1:35,2,1,ARI 38,14,17,"Penalty on ARI: False Start, 5 yards (no play)",1.540,0.870
3,1:16,2,6,ARI 33,14,17,Kerwynn Williams up the middle for 2 yards (tackle by Vance Walker),0.870,0.430
3,0:35,3,4,ARI 35,14,17,Drew Stanton pass complete short right to John Carlson for 1 yard (tackle by Chris Owens),0.430,-0.980
Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,3,ARI 36,14,17,"Drew Butler punts 48 yards, returned by De'Anthony Thomas for no gain",-0.980,0.140
4,14:51,1,10,KAN 16,14,17,Alex Smith pass complete short right to Albert Wilson for 12 yards,-0.140,0.810
4,14:20,1,10,KAN 28,14,17,Alex Smith sacked by Frostee Rucker for -2 yards,0.810,-0.010
4,13:38,2,12,KAN 26,14,17,"Alex Smith pass incomplete short middle intended for Jamaal Charles. Penalty on Antonio Cromartie: Illegal Contact, 5 yards, Penalty on Justin Bethel: Defensive Holding (Declined) (no play)",-0.010,1.000
4,13:31,1,10,KAN 31,14,17,Jamaal Charles up the middle for 2 yards (tackle by Calais Campbell),1.000,0.730
4,12:55,2,8,KAN 33,14,17,"Jamaal Charles left end for 2 yards (tackle by Kevin Minter). Penalty on Donald Stephenson: Offensive Holding, 10 yards (no play)",0.730,-0.620
4,12:28,2,18,KAN 23,14,17,Alex Smith pass incomplete deep right intended for Albert Wilson,-0.620,-1.290
4,12:22,3,18,KAN 23,14,17,Alex Smith pass complete short right to Knile Davis for 8 yards (tackle by Antonio Cromartie),-1.290,-1.310
4,11:59,4,10,KAN 31,14,17,"Dustin Colquitt punts 52 yards, returned by Ted Ginn for 6 yards (tackle by Joe Mays)",-1.310,-0.480
4,11:46,1,10,ARI 23,14,17,Kerwynn Williams up the middle for 3 yards (tackle by Jaye Howard),0.480,0.340
4,11:14,2,7,ARI 26,14,17,Drew Stanton pass incomplete short left intended for John Brown (defended by Phillip Gaines),0.340,-0.360
4,11:08,3,7,ARI 26,14,17,Drew Stanton pass incomplete short right intended for Michael Floyd (defended by Sean Smith),-0.360,-1.630
4,11:02,4,7,ARI 26,14,17,"Drew Butler punts 48 yards, returned by De'Anthony Thomas for 1 yard (tackle by Justin Bethel). Penalty on Josh Martin: Offensive Holding, 11 yards",-1.630,0.220
4,10:47,1,10,KAN 15,14,17,Alex Smith pass complete short left to Albert Wilson for 22 yards (tackle by Deone Bucannon),-0.220,1.400
4,10:08,1,10,KAN 37,14,17,Jamaal Charles right end for 1 yard (tackle by Tony Jefferson and Calais Campbell),1.400,0.990
4,9:29,2,9,KAN 38,14,17,Jamaal Charles right tackle for no gain (tackle by Tommy Kelly),0.990,0.300
4,8:47,3,9,KAN 38,14,17,Alex Smith sacked by Alex Okafor for -13 yards,0.300,-1.700
4,8:08,4,22,KAN 25,14,17,"Dustin Colquitt punts 48 yards, fair catch by Ted Ginn",-1.700,-0.740
4,7:59,1,10,ARI 27,14,17,Kerwynn Williams up the middle for 5 yards (tackle by Tamba Hali and Husain Abdullah),0.740,0.870
4,7:21,2,5,ARI 32,14,17,Drew Stanton pass incomplete,0.870,0.170
4,7:11,3,5,ARI 32,14,17,Drew Stanton pass incomplete short middle intended for John Brown (defended by Husain Abdullah),0.170,-1.240
4,7:05,4,5,ARI 32,14,17,"Drew Butler punts 48 yards, returned by De'Anthony Thomas for 4 yards (tackle by Lorenzo Alexander)",-1.240,-0.540
4,6:51,1,10,KAN 24,14,17,Alex Smith pass complete deep right to Travis Kelce for 29 yards (tackle by Tony Jefferson and Larry Foote),0.540,2.460
4,6:22,1,10,ARI 47,14,17,Alex Smith pass incomplete deep left intended for Dwayne Bowe,2.460,1.910
4,6:16,2,10,ARI 47,14,17,Alex Smith pass complete short left to De'Anthony Thomas for 6 yards (tackle by Calais Campbell),1.910,2.010
4,5:31,3,4,ARI 41,14,17,"Alex Smith pass complete short right to Travis Kelce for 18 yards (tackle by Deone Bucannon). Travis Kelce fumbles (forced by Deone Bucannon), recovered by Justin Bethel at ARI-16",2.010,0.140
,,,,,,,"ARI challenged the runner was down by contact ruling, and the original play was overturned.",,
4,5:23,1,10,ARI 16,14,17,Kerwynn Williams left tackle for no gain (tackle by Jaye Howard),-0.140,-0.660
4,4:42,2,10,ARI 16,14,17,Kerwynn Williams up the middle for 16 yards (tackle by Husain Abdullah),-0.660,1.070
4,3:58,1,10,ARI 32,14,17,Kerwynn Williams up the middle for 5 yards (tackle by Josh Mauga),1.070,1.070
4,3:53,1,10,ARI 32,14,17,Timeout #2 by Kansas City Chiefs,1.070,1.200
4,3:53,2,5,ARI 37,14,17,Kerwynn Williams up the middle for 3 yards (tackle by Josh Mauga and Vance Walker),1.200,1.200
4,3:48,2,5,ARI 37,14,17,Timeout #3 by Kansas City Chiefs,1.200,0.890
4,3:48,3,2,ARI 40,14,17,Drew Stanton pass complete short right to Robert Hughes for 36 yards (tackle by Josh Mauga),0.890,3.970
4,2:58,1,10,KAN 24,14,17,Kerwynn Williams up the middle for 3 yards (tackle by Josh Mauga),3.970,3.840
4,2:14,2,7,KAN 21,14,17,Kerwynn Williams left tackle for no gain (tackle by Joe Mays),3.840,3.140
4,2:00,3,7,KAN 21,14,17,Kerwynn Williams up the middle for 5 yards (tackle by Ron Parker),3.140,3.140
4,1:14,3,7,KAN 21,14,17,Timeout #3 by Arizona Cardinals,3.140,2.500
4,1:14,4,2,KAN 16,14,17,Chandler Catanzaro 34 yard field goal no good,2.500,-0.540
4,1:09,1,10,KAN 24,14,17,Alex Smith pass complete short right to Jamaal Charles for 2 yards (tackle by Alex Okafor),0.540,0.270
4,1:04,2,8,KAN 26,14,17,Alex Smith pass complete short left to Jason Avant for 4 yards (tackle by Jerraud Powers),0.270,0.100
4,0:42,3,4,KAN 30,14,17,Alex Smith pass complete short middle to Jason Avant for 6 yards (tackle by Jerraud Powers),0.100,1.330
4,0:22,1,10,KAN 36,14,17,Alex Smith pass incomplete short right intended for Jamaal Charles,1.330,0.790
4,0:19,2,10,KAN 36,14,17,"Penalty on Eric Fisher: False Start, 5 yards (no play)",0.790,0.120
4,0:19,2,15,KAN 31,14,17,Alex Smith pass incomplete short left intended for Albert Wilson,0.120,-0.560
4,0:16,3,15,KAN 31,14,17,Alex Smith pass incomplete short right intended for Albert Wilson,-0.560,-1.310
4,0:11,4,15,KAN 31,14,17,Alex Smith pass incomplete short middle intended for Jason Avant (defended by Calais Campbell),-1.310,-3.510
4,0:07,1,10,KAN 31,14,17,Drew Stanton kneels for -1 yards,3.510,2.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
