Unnamed: 0,MIN,WAS
First Downs,21,20
Rush-Yds-TDs,18-52-0,31-117-1
Cmp-Att-Yd-TD-INT,27-44-299-2-0,17-26-216-2-1
Sacked-Yards,4-31,3-15
Net Pass Yards,268,201
Total Yards,320,318
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,7-49,3-13
Third Down Conv.,7-15,7-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:44,30:16
