Quarter,Time,Tm,Detail,MIN,WAS
1.0,10:41,Redskins,Chris Cooley 6 yard pass from Patrick Ramsey (Jeff Chandler kick),0,7
2.0,11:32,Vikings,Morten Andersen 23 yard field goal,3,7
,1:17,Redskins,Robert Royal 4 yard pass from Patrick Ramsey (Jeff Chandler kick),3,14
3.0,5:41,Vikings,Randy Moss 28 yard pass from Daunte Culpepper (Morten Andersen kick),10,14
4.0,10:41,Redskins,Ladell Betts 1 yard rush (Jeff Chandler kick),10,21
,0:02,Vikings,Marcus Robinson 38 yard pass from Daunte Culpepper (Onterrio Smith pass from Daunte Culpepper),18,21
