Unnamed: 0,TAM,CAR
First Downs,14,9
Rush-Yds-TDs,27-71-0,31-110-0
Cmp-Att-Yd-TD-INT,23-34-186-0-1,5-18-46-0-3
Sacked-Yards,6-31,3-26
Net Pass Yards,155,20
Total Yards,226,130
Fumbles-Lost,1-1,2-1
Turnovers,2,4
Penalties-Yards,4-26,7-70
Third Down Conv.,7-18,1-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:01,26:59
