Quarter,Time,Tm,Detail,TEN,SDG
1.0,5:56,Chargers,LaDainian Tomlinson 15 yard rush (Nate Kaeding kick),0,7
2.0,14:10,Titans,Derrick Mason 4 yard pass from Billy Volek (Gary Anderson kick),7,7
,5:16,Chargers,Antonio Gates 11 yard pass from Drew Brees (Nate Kaeding kick),7,14
,0:38,Chargers,Justin Peelle 10 yard pass from Drew Brees (Nate Kaeding kick),7,21
3.0,4:18,Chargers,Nate Kaeding 31 yard field goal,7,24
4.0,12:26,Titans,Gary Anderson 24 yard field goal,10,24
,7:04,Titans,Shad Meier 3 yard pass from Billy Volek (Gary Anderson kick),17,24
,6:42,Chargers,Reche Caldwell 58 yard pass from Drew Brees (Nate Kaeding kick),17,31
,3:18,Chargers,Jesse Chatman 21 yard rush (Nate Kaeding kick),17,38
