Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
2,2:00,3,6,TEN 32,7,14,LaDainian Tomlinson right tackle for 13 yards (tackle by Andre Woolfolk),2.480,4.310
2,1:23,1,10,TEN 19,7,14,Drew Brees pass complete to Antonio Gates for 9 yards (tackle by Brad Kassell),4.310,5.360
2,0:44,2,1,TEN 10,7,20,"Drew Brees pass complete to Justin Peelle for 10 yards, touchdown",5.360,7.000
2,,,,TEN 2,7,21,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,7,21,"Nate Kaeding kicks off 55 yards, returned by Troy Fleming for no gain",0.000,-0.220
2,0:30,1,10,TEN 15,7,21,"Robert Holcombe up the middle for no gain (tackle by Ben Leber). Penalty on Jason Fisk: Defensive Offside, 5 yards (no play)",-0.220,0.680
2,0:26,1,5,TEN 20,7,21,Billy Volek pass complete to Robert Holcombe for 4 yards (tackle by Randall Godfrey),0.680,0.620
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,7,21,"Craig Hentrich kicks off 54 yards, returned by Jesse Chatman for 19 yards (tackle by Ken Amato). Penalty on Zeke Moreno: Offensive Holding, 10 yards",0.000,0.610
3,14:54,1,10,SDG 25,7,21,LaDainian Tomlinson right end for 28 yards (tackle by Lamont Thompson),0.610,2.460
3,14:13,1,10,TEN 47,7,21,Jesse Chatman left tackle for 2 yards (tackle by Albert Haynesworth and Kevin Carter),2.460,2.180
3,13:30,2,8,TEN 45,7,21,LaDainian Tomlinson right end for 6 yards (tackle by Albert Haynesworth and Antwan Odom),2.180,2.280
3,13:05,3,2,TEN 39,7,21,LaDainian Tomlinson for -6 yards (tackle by Justin Ena),2.280,0.270
3,12:30,4,8,TEN 45,7,21,"Mike Scifres punts 37 yards, muffed catch by Derrick Mason, recovered by Derrick Mason and returned for no gain",0.270,0.380
3,12:21,1,10,TEN 10,7,21,Billy Volek pass complete to Troy Fleming for 4 yards (tackle by Ben Leber),-0.380,-0.460
3,11:45,2,6,TEN 14,7,21,Billy Volek pass complete to Derrick Mason for 5 yards (tackle by Terrence Kiel),-0.460,-0.370
3,11:03,3,1,TEN 19,7,21,Chris Brown right tackle for 3 yards (tackle by Randall Godfrey),-0.370,0.410
3,10:29,1,10,TEN 22,7,21,Billy Volek pass incomplete intended for Chris Brown,0.410,-0.130
3,10:24,2,10,TEN 22,7,21,Billy Volek pass complete to Derrick Mason for 8 yards (tackle by Steve Foley),-0.130,0.230
3,9:50,3,2,TEN 30,7,21,Billy Volek pass complete to Drew Bennett for 13 yards (tackle by Sammy Davis),0.230,1.800
3,9:17,1,10,TEN 43,7,21,Billy Volek pass incomplete intended for Derrick Mason (defended by Sammy Davis),1.800,1.250
3,9:09,2,10,TEN 43,7,21,Billy Volek left end for 12 yards,1.250,2.590
3,8:28,1,10,SDG 45,7,21,Chris Brown up the middle for 2 yards (tackle by Ben Leber),2.590,2.310
3,7:46,2,8,SDG 43,7,21,Billy Volek pass incomplete intended for Robert Holcombe,2.310,1.620
3,7:39,3,8,SDG 43,7,21,Billy Volek sacked by Shaun Phillips for -12 yards,1.620,-0.390
3,7:05,4,20,TEN 45,7,21,Craig Hentrich punts 19 yards,-0.390,-1.330
3,6:55,1,10,SDG 36,7,21,LaDainian Tomlinson right tackle for 42 yards (tackle by Tank Williams),1.330,4.110
3,6:07,1,10,TEN 22,7,21,LaDainian Tomlinson up the middle for 5 yards (tackle by Brad Kassell),4.110,4.290
3,5:30,2,5,TEN 17,7,21,LaDainian Tomlinson left end for -2 yards (tackle by Justin Ena),4.290,3.260
3,4:48,3,7,TEN 19,7,21,Drew Brees pass complete to LaDainian Tomlinson for 6 yards (tackle by Antwan Odom),3.260,2.720
3,4:24,4,1,TEN 13,7,24,Nate Kaeding 31 yard field goal good,2.720,3.000
3,,,,SDG 30,7,24,"Nate Kaeding kicks off 65 yards, returned by Troy Fleming for 23 yards (tackle by Jesse Chatman)",0.000,0.810
3,4:12,1,10,TEN 28,7,24,Billy Volek pass incomplete intended for Drew Bennett,0.810,0.260
3,4:06,2,10,TEN 28,7,24,Chris Brown up the middle for 3 yards (tackle by Donnie Edwards),0.260,-0.030
3,3:23,3,7,TEN 31,7,24,Billy Volek pass complete to Tyrone Calico for 9 yards (tackle by Quentin Jammer),-0.030,1.600
3,3:01,1,10,TEN 40,7,24,Billy Volek pass complete to Derrick Mason for 4 yards (tackle by Quentin Jammer),1.600,1.590
3,2:17,2,6,TEN 44,7,24,Billy Volek pass incomplete intended for Derrick Mason (defended by Dave Ball),1.590,0.890
3,2:12,3,6,TEN 44,7,24,Billy Volek pass complete to Shad Meier for 5 yards (tackle by Stephen Cooper),0.890,-0.130
3,1:24,4,1,TEN 49,7,24,Billy Volek up the middle for 3 yards (tackle by Igor Olshansky),-0.130,2.390
3,0:42,1,10,SDG 48,7,24,Billy Volek pass complete to Derrick Mason for 5 yards (tackle by Steve Foley),2.390,2.520
3,0:22,2,5,SDG 43,7,24,Billy Volek pass incomplete intended for Tyrone Calico (defended by Quentin Jammer),2.520,1.820
3,0:15,3,5,SDG 43,7,24,Billy Volek pass complete to Shad Meier for 1 yard (tackle by Quentin Jammer),1.820,0.460
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,SDG 42,7,24,Billy Volek pass complete to Drew Bennett for 5 yards (tackle by Sammy Davis),0.460,3.120
4,14:24,1,10,SDG 37,7,24,"Billy Volek pass complete to Robert Holcombe for 3 yards (tackle by Randall Godfrey). Penalty on Shaun Phillips: Illegal Use of Hands, 6 yards (no play)",3.120,3.510
4,13:57,1,10,SDG 31,7,24,Billy Volek pass complete to Drew Bennett for 20 yards (tackle by Terrence Kiel),3.510,4.840
4,13:19,1,10,SDG 11,7,24,Billy Volek pass complete to Drew Bennett for 1 yard (tackle by Jerry Wilson),4.840,4.320
4,12:56,2,9,SDG 10,7,24,Billy Volek pass complete to Tyrone Calico for 4 yards (tackle by Jerry Wilson),4.320,4.210
4,12:35,3,5,SDG 6,7,24,Billy Volek pass incomplete intended for Drew Bennett (defended by Jason Fisk),4.210,2.990
4,12:31,4,5,SDG 6,10,24,Gary Anderson 24 yard field goal good,2.990,3.000
4,,,,TEN 30,10,24,"Craig Hentrich kicks onside 12 yards, recovered by Donnie Nickey (onside kick successful)",0.000,1.730
4,12:25,1,10,TEN 42,10,24,Billy Volek pass complete to Chris Brown for 7 yards (tackle by Randall Godfrey),1.730,2.130
4,11:52,2,3,TEN 49,10,24,Billy Volek pass complete to Derrick Mason for 6 yards (tackle by Randall Godfrey),2.130,2.590
4,11:15,1,10,SDG 45,10,24,Billy Volek pass complete to Drew Bennett for 6 yards,2.590,2.850
4,10:37,2,4,SDG 39,10,24,Billy Volek pass incomplete intended for Ben Troupe,2.850,2.150
4,10:31,3,4,SDG 39,10,24,"Billy Volek pass incomplete intended for Shad Meier (defended by Donnie Edwards). Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",2.150,3.310
4,10:25,1,10,SDG 34,10,24,Billy Volek pass complete to Derrick Mason for 17 yards (tackle by Jerry Wilson),3.310,4.440
4,9:49,1,10,SDG 17,10,24,Billy Volek pass complete to Shad Meier for 6 yards (tackle by Randall Godfrey),4.440,4.890
4,9:09,2,4,SDG 11,10,24,Billy Volek pass complete to Shad Meier for no gain,4.890,4.100
4,8:23,3,4,SDG 11,10,24,Billy Volek pass complete to Shad Meier for 3 yards (tackle by Terrence Kiel),4.100,2.990
4,7:42,4,1,SDG 8,10,24,Billy Volek pass complete to Derrick Mason for 5 yards (tackle by Jerry Wilson),2.990,6.510
4,7:08,1,3,SDG 3,16,24,"Billy Volek pass complete to Shad Meier for 3 yards, touchdown",6.510,7.000
4,,,,SDG 2,17,24,Gary Anderson kicks extra point good,0.000,0.000
4,,,,TEN 30,17,24,"Craig Hentrich kicks off 48 yards, returned by Tim Dwight for 15 yards (tackle by Ken Amato). Penalty on Michael Waddell: Offside on Free Kick, 5 yards",0.000,1.730
4,6:55,1,10,SDG 42,17,24,Drew Brees pass incomplete intended for Lorenzo Neal,1.730,1.190
4,6:52,2,10,SDG 42,17,30,"Drew Brees pass complete to Reche Caldwell for 58 yards, touchdown",1.190,7.000
4,,,,TEN 2,17,31,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,17,31,"Nate Kaeding kicks off 67 yards, returned by Troy Fleming for 14 yards (tackle by Jesse Chatman)",0.000,-0.060
4,6:36,1,10,TEN 17,17,31,Billy Volek pass complete to Shad Meier for 4 yards (tackle by Donnie Edwards),-0.060,0.080
4,6:04,2,6,TEN 21,17,31,Billy Volek pass incomplete intended for Drew Bennett,0.080,-0.750
4,6:00,3,6,TEN 21,17,31,"Billy Volek sacked by Steve Foley for -9 yards. Billy Volek fumbles (forced by Steve Foley), recovered by Billy Volek at TEN-12",-0.750,-2.490
4,6:00,4,15,TEN 12,17,31,"Craig Hentrich punts 52 yards, returned by Tim Dwight for 6 yards (tackle by Darrell Hill)",-2.490,-1.730
4,5:12,1,10,SDG 42,17,31,LaDainian Tomlinson right tackle for 4 yards (tackle by Brad Kassell),1.730,1.730
4,4:28,2,6,SDG 46,17,31,LaDainian Tomlinson right tackle for 1 yard (tackle by Tank Williams),1.730,1.160
4,4:21,,,,17,31,Timeout #1 by Tennessee Titans,0.000,1.160
4,4:21,3,5,SDG 47,17,31,Jesse Chatman up the middle for no gain (tackle by Carlos Hall and Brad Kassell),1.160,-0.260
4,4:14,,,,17,31,Timeout #2 by Tennessee Titans,0.000,-0.260
4,4:14,4,5,SDG 47,17,31,"Mike Scifres punts 35 yards, fair catch by Derrick Mason",-0.260,-0.040
4,4:08,1,10,TEN 18,17,31,"Penalty on Fred Miller: False Start, 5 yards (no play)",0.040,-0.450
4,4:08,1,15,TEN 13,17,31,Billy Volek pass incomplete intended for Eddie Berlin,-0.450,-1.140
4,4:05,2,15,TEN 13,17,31,Billy Volek pass complete to Derrick Mason for 9 yards (tackle by Jerry Wilson),-1.140,-0.660
4,3:38,3,6,TEN 22,17,31,Billy Volek pass complete to Billy Volek for no gain. Penalty on Billy Volek: Illegal Forward Pass (Declined),-0.660,-1.960
4,3:31,,,,17,31,Timeout #3 by Tennessee Titans,0.000,-1.960
4,3:26,4,7,TEN 21,17,31,Billy Volek pass incomplete intended for Shad Meier,-1.960,-4.170
4,3:25,1,10,TEN 21,17,37,"Jesse Chatman left end for 21 yards, touchdown",4.170,7.000
4,,,,TEN 2,17,38,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,17,38,"Nate Kaeding kicks off 68 yards, returned by Troy Fleming for 20 yards (tackle by Kassim Osgood)",0.000,0.410
4,3:13,1,10,TEN 22,17,38,Chris Brown up the middle for 9 yards (tackle by Drayton Florence),0.410,1.080
4,2:49,2,1,TEN 31,17,38,Billy Volek pass complete to Derrick Mason for 7 yards (tackle by Jerry Wilson),1.080,1.470
4,2:20,1,10,TEN 38,17,38,Billy Volek pass complete to Ben Troupe for 8 yards (tackle by Clinton Hart),1.470,2.000
4,2:00,2,2,TEN 46,17,38,Chris Brown up the middle for 18 yards (tackle by Sammy Davis),2.000,3.180
4,1:31,1,10,SDG 36,17,38,Billy Volek pass incomplete intended for Chris Brown (defended by Igor Olshansky),3.180,2.640
4,1:24,2,10,SDG 36,17,38,Billy Volek pass incomplete intended for Drew Bennett (defended by Sammy Davis),2.640,1.950
4,1:17,3,10,SDG 36,17,38,Billy Volek pass incomplete intended for Drew Bennett,1.950,0.880
4,1:14,4,10,SDG 36,17,38,Billy Volek pass complete to Chris Brown for 8 yards (tackle by Jamar Fletcher),0.880,-0.810
4,1:06,1,10,SDG 28,17,38,Drew Brees kneels for -1 yards,0.810,0.130
4,0:32,2,11,SDG 27,17,38,Drew Brees kneels for -1 yards,0.130,-0.690
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
