Unnamed: 0,TEN,SDG
First Downs,21,16
Rush-Yds-TDs,18-72-0,24-195-2
Cmp-Att-Yd-TD-INT,39-58-279-2-0,16-20-206-3-0
Sacked-Yards,3-21,1-8
Net Pass Yards,258,198
Total Yards,330,393
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,4-25,7-41
Third Down Conv.,4-17,3-8
Fourth Down Conv.,4-6,0-0
Time of Possession,37:13,22:47
