Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Fred Jackson,BUF,1,10,10.0,0,10,1,30,30.0,0,30
Spencer Johnson,BUF,1,19,19.0,0,19,0,0,,0,0
Leodis McKelvin,BUF,1,5,5.0,0,5,0,0,,0,0
