Quarter,Time,Tm,Detail,NWE,BUF
1,3:01,Patriots,Stephen Gostkowski 33 yard field goal,3,0
3,4:39,Patriots,LaMont Jordan 2 yard rush (Stephen Gostkowski kick),10,0
4,10:15,Patriots,Stephen Gostkowski 23 yard field goal,13,0
