Unnamed: 0,NWE,BUF
First Downs,16,15
Rush-Yds-TDs,47-168-1,35-161-0
Cmp-Att-Yd-TD-INT,6-8-78-0-0,14-25-128-0-0
Sacked-Yards,1-5,2-13
Net Pass Yards,73,115
Total Yards,241,276
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,2-10,3-20
Third Down Conv.,2-10,9-17
Fourth Down Conv.,3-3,0-2
Time of Possession,32:00,28:00
