Quarter,Time,Tm,Detail,NYG,WAS
1.0,2:10,Giants,Matt Bryant 42 yard field goal,3,0
2.0,8:47,Giants,Charles Stackhouse 2 yard pass from Kerry Collins (Matt Bryant kick),10,0
,1:53,Giants,Amani Toomer 29 yard pass from Kerry Collins (Matt Bryant kick),17,0
,0:00,Redskins,Jose Cortez 24 yard field goal,17,3
3.0,5:52,Redskins,Jose Cortez 44 yard field goal,17,6
,3:17,Redskins,Rod Gardner 13 yard pass from Patrick Ramsey (Chris Doering pass from Patrick Ramsey),17,14
,1:25,Giants,Tiki Barber 1 yard rush (Matt Bryant kick),24,14
4.0,10:57,Giants,Matt Bryant 35 yard field goal,27,14
,8:42,Redskins,Stephen Davis 1 yard rush (Jose Cortez kick),27,21
