Unnamed: 0,NYG,WAS
First Downs,16,23
Rush-Yds-TDs,29-111-1,20-132-1
Cmp-Att-Yd-TD-INT,17-31-212-2-0,25-46-363-1-1
Sacked-Yards,1-7,6-48
Net Pass Yards,205,315
Total Yards,316,447
Fumbles-Lost,0-0,5-4
Turnovers,0,5
Penalties-Yards,8-61,12-90
Third Down Conv.,5-15,8-15
Fourth Down Conv.,0-0,1-1
Time of Possession,30:59,29:01
