Quarter,Time,Tm,Detail,TAM,SEA
2,11:50,Buccaneers,Tim Wright 12 yard pass from Mike Glennon (Rian Lindell kick),7,0
,2:55,Buccaneers,Tiquan Underwood 20 yard pass from Mike Glennon (Rian Lindell kick),14,0
,2:16,Buccaneers,Tom Crabtree 2 yard pass from Mike James (Rian Lindell kick),21,0
,1:40,Seahawks,Jermaine Kearse 16 yard pass from Russell Wilson (Stephen Hauschka kick),21,7
3,9:48,Buccaneers,Rian Lindell 33 yard field goal,24,7
,5:00,Seahawks,Russell Wilson 10 yard rush (Stephen Hauschka kick),24,14
4,14:47,Seahawks,Stephen Hauschka 36 yard field goal,24,17
,1:51,Seahawks,Doug Baldwin 10 yard pass from Russell Wilson (Stephen Hauschka kick),24,24
OT,8:11,Seahawks,Stephen Hauschka 27 yard field goal,24,27
