Unnamed: 0,TAM,SEA
First Downs,24,26
Rush-Yds-TDs,38-205-0,35-198-1
Cmp-Att-Yd-TD-INT,18-24-170-3-0,19-26-217-2-2
Sacked-Yards,3-25,0-0
Net Pass Yards,145,217
Total Yards,350,415
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,8-99,6-67
Third Down Conv.,8-15,8-12
Fourth Down Conv.,0-0,0-0
Time of Possession,36:37,30:12
