Quarter,Time,Down,ToGo,Location,TAM,SEA,Detail,EPB,EPA
1,6:26,2,7,TAM 46,0,0,Mike Glennon sacked by Bobby Wagner for -11 yards,1.660,-0.490
1,5:45,3,18,TAM 35,0,0,Mike Glennon pass complete short left to Brian Leonard for 8 yards (tackle by Earl Thomas),-0.490,-0.520
1,5:19,4,10,TAM 43,0,0,"Michael Koenen punts 57 yards, touchback",-0.520,-0.280
1,5:10,1,10,SEA 20,0,0,"Russell Wilson pass incomplete short middle intended for Zach Miller. Penalty on Jonathan Casillas: Roughing the Passer, 15 yards (no play)",0.280,1.270
1,5:06,1,10,SEA 35,0,0,Robert Turbin right tackle for 5 yards (tackle by Akeem Spence and Keith Tandy),1.270,1.400
1,4:24,2,5,SEA 40,0,0,Robert Turbin right tackle for 2 yards (tackle by Lavonte David and Gerald McCoy),1.400,0.960
1,3:46,3,3,SEA 42,0,0,Robert Turbin left end for 2 yards (tackle by Mark Barron),0.960,-0.460
1,3:07,4,1,SEA 44,0,0,"Jon Ryan punts 45 yards, muffed catch by Skye Dawson, recovered by Skye Dawson and returned for no gain",-0.460,0.380
1,2:53,1,10,TAM 10,0,0,Mike James left end for 2 yards (tackle by Bobby Wagner),-0.380,-0.630
1,2:14,2,8,TAM 12,0,0,Mike Glennon pass incomplete short left intended for Vincent Jackson (defended by Brandon Browner),-0.630,-1.190
1,2:10,3,8,TAM 12,0,0,Mike Glennon pass complete short left to Tim Wright for 14 yards (tackle by K.J. Wright),-1.190,0.670
1,1:31,1,10,TAM 26,0,0,"Mike James right tackle for -2 yards (tackle by Tony McDaniel). Penalty on Mike James: False Start, 5 yards (no play)",0.670,0.340
1,0:58,1,15,TAM 21,0,0,Mike James left tackle for 21 yards (tackle by Kam Chancellor),0.340,1.730
1,0:26,1,10,TAM 42,0,0,Brian Leonard left tackle for 8 yards (tackle by Kam Chancellor),1.730,2.270
Quarter,Time,Down,ToGo,Location,TAM,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,,0,0,Mike James right guard for no gain (tackle by Clinton McDonald and Kam Chancellor),2.270,1.550
2,14:19,3,2,,0,0,Mike Glennon pass complete short right to Vincent Jackson for 6 yards (tackle by Richard Sherman),1.550,2.650
2,13:40,1,10,SEA 44,0,0,"Mike Glennon pass incomplete deep left intended for Skye Dawson (defended by Earl Thomas). Penalty on Earl Thomas: Defensive Pass Interference, 22 yards (no play)",2.650,4.110
2,13:32,1,10,SEA 22,0,0,Mike James left tackle for 9 yards (tackle by Earl Thomas and Bobby Wagner),4.110,5.060
2,12:52,2,1,SEA 13,0,0,Mike James right tackle for 1 yard (tackle by Chris Clemons and Brandon Mebane),5.060,4.780
2,11:59,1,10,SEA 12,6,0,"Mike Glennon pass complete short middle to Tim Wright for 12 yards, touchdown. Penalty on Red Bryant: Defensive Offside (Declined)",4.780,7.000
2,11:59,,,SEA 2,7,0,Rian Lindell kicks extra point good,0.000,0.000
2,11:59,,,TAM 35,7,0,"Michael Koenen kicks onside 11 yards. Penalty on Michael Adams: Offensive Offside, 5 yards (no play)",0.000,0.000
2,11:59,,,TAM 30,7,0,"Michael Koenen kicks off 68 yards, returned by Jermaine Kearse for 22 yards (tackle by Adam Hayward)",0.000,-0.540
2,11:44,1,10,SEA 24,7,0,Robert Turbin left tackle for 9 yards (tackle by Mark Barron),0.540,1.210
2,11:09,2,1,SEA 33,7,0,Marshawn Lynch left tackle for 3 yards (tackle by Gary Gibson and Darrelle Revis),1.210,1.330
2,10:33,1,10,SEA 36,7,0,Russell Wilson pass incomplete short right intended for Doug Baldwin (defended by Mark Barron),1.330,0.790
2,10:27,2,10,SEA 36,7,0,Russell Wilson pass incomplete short left intended for Doug Baldwin (defended by Danny Gorrer),0.790,0.100
2,10:23,3,10,SEA 36,7,0,Russell Wilson right end for 9 yards (tackle by Michael Adams),0.100,-0.390
2,9:45,4,1,SEA 45,7,0,"Jon Ryan punts 39 yards, fair catch by Eric Page",-0.390,0.140
2,9:37,1,10,TAM 16,7,0,Mike James right tackle for 1 yard (tackle by Tony McDaniel and K.J. Wright),-0.140,-0.510
2,8:57,2,9,TAM 17,7,0,Mike James right tackle for 8 yards (tackle by Kam Chancellor),-0.510,-0.200
2,8:17,3,1,TAM 25,7,0,Mike Glennon pass complete short right to Erik Lorig for 7 yards,-0.200,1.070
2,7:50,1,10,TAM 32,7,0,Mike James up the middle for 11 yards (tackle by Kam Chancellor and Richard Sherman),1.070,1.800
2,7:18,1,10,TAM 43,7,0,Brian Leonard left end for 1 yard (tackle by K.J. Wright),1.800,1.390
2,6:40,2,9,TAM 44,7,0,Mike Glennon pass complete short right to Erik Lorig for 2 yards (tackle by Bobby Wagner),1.390,0.960
2,5:53,3,7,TAM 46,7,0,Mike Glennon pass complete short right to Tiquan Underwood for 9 yards (tackle by Earl Thomas),0.960,2.590
2,5:13,1,10,SEA 45,7,0,Mike James right end for 4 yards (tackle by Bobby Wagner),2.590,2.580
2,4:31,2,6,SEA 41,7,0,Mike James right tackle for 2 yards (tackle by Jordan Hill and K.J. Wright),2.580,2.150
2,3:47,3,4,SEA 39,7,0,Mike Glennon pass complete short left to Brian Leonard for 19 yards (tackle by Earl Thomas),2.150,4.240
2,3:04,1,10,SEA 20,13,0,"Mike Glennon pass complete deep left to Tiquan Underwood for 20 yards, touchdown",4.240,7.000
2,3:04,,,SEA 2,14,0,Rian Lindell kicks extra point good,0.000,0.000
2,3:04,,,TAM 35,14,0,"Michael Koenen kicks off 63 yards, returned by Jermaine Kearse for 30 yards (tackle by Russell Shepard). Jermaine Kearse fumbles, recovered by Michael Koenen at SEA-36 and returned for 5 yards",0.000,3.510
2,2:46,1,10,SEA 31,14,0,"Mike Glennon pass complete deep left to Tim Wright for 27 yards (tackle by Earl Thomas). Penalty on Earl Thomas: Unnecessary Roughness, 2 yards",3.510,6.740
2,2:23,1,2,SEA 2,20,0,"Mike James pass complete short middle to Tom Crabtree for 2 yards, touchdown",6.740,7.000
2,2:23,,,SEA 2,21,0,Rian Lindell kicks extra point good,0.000,0.000
2,2:23,,,TAM 35,21,0,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
2,2:16,1,10,SEA 20,21,0,Marshawn Lynch left tackle for 4 yards (tackle by Gerald McCoy and Da'Quan Bowers),0.280,0.270
2,2:00,2,6,SEA 24,21,0,"Russell Wilson for 16 yards. Penalty on Gerald McCoy: Unnecessary Roughness, 15 yards",0.270,2.590
2,1:50,1,10,TAM 45,21,0,"Russell Wilson pass incomplete deep left intended for Doug Baldwin. Penalty on Michael Adams: Defensive Pass Interference, 29 yards (no play)",2.590,4.510
2,1:45,1,10,TAM 16,21,6,"Russell Wilson pass complete short middle to Jermaine Kearse for 16 yards, touchdown. Penalty on Gerald McCoy: Roughing the Passer, 15 yards",4.510,7.000
2,1:45,1,10,TAM 16,21,6,--,4.510,0.000
2,1:45,,,TAM 2,21,7,Steven Hauschka kicks extra point good,0.000,0.000
2,1:45,,,TAM 16,21,7,"Steven Hauschka kicks off 37 yards, fair catch by Eric Page",0.000,0.320
2,1:40,1,10,TAM 13,21,7,Mike James left guard for 4 yards (tackle by Bruce Irvin and Brandon Mebane),-0.320,-0.320
2,1:34,1,10,TAM 13,21,7,Timeout #2 by Seattle Seahawks,-0.320,-0.300
2,1:34,2,6,TAM 17,21,7,Mike James right tackle for 2 yards (tackle by Tony McDaniel),-0.300,-0.300
2,1:28,2,6,TAM 17,21,7,Timeout #3 by Seattle Seahawks,-0.300,-0.710
2,1:28,3,4,TAM 19,21,7,Brian Leonard up the middle for 5 yards (tackle by K.J. Wright and Cliff Avril),-0.710,0.540
2,0:48,1,10,TAM 24,21,7,Mike James right tackle for 3 yards (tackle by Bruce Irvin),0.540,0.540
2,0:02,1,10,TAM 24,21,7,Timeout #1 by Tampa Bay Buccaneers,0.540,0.400
2,0:02,2,7,TAM 27,21,7,Mike Glennon kneels for -2 yards,0.400,-0.560
Quarter,Time,Down,ToGo,Location,TAM,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,21,7,"Steven Hauschka kicks off no gain, touchback",0.000,0.280
3,15:00,1,10,TAM 20,21,7,Mike James right tackle for 9 yards (tackle by Earl Thomas and Tony McDaniel),0.280,0.950
3,14:23,2,1,TAM 29,21,7,Mike James right tackle for 3 yards (tackle by K.J. Wright),0.950,1.070
3,13:44,1,10,TAM 32,21,7,Mike Glennon pass incomplete deep middle intended for Vincent Jackson,1.070,0.530
3,13:39,2,10,TAM 32,21,7,Mike James left guard for 6 yards (tackle by K.J. Wright and Earl Thomas),0.530,0.630
3,12:55,3,4,TAM 38,21,7,Mike Glennon pass complete short middle to Brian Leonard for 13 yards (tackle by Bobby Wagner and Earl Thomas),0.630,2.320
3,12:13,1,10,SEA 49,21,7,Skye Dawson right end for 14 yards (tackle by Cliff Avril),2.320,3.250
3,11:31,1,10,SEA 35,21,7,Mike James up the middle for 18 yards (tackle by Richard Sherman),3.250,4.440
3,10:47,1,10,SEA 17,21,7,Mike Glennon pass incomplete,4.440,3.850
3,10:40,2,10,SEA 17,21,7,Mike James up the middle for 2 yards (tackle by Clinton McDonald and Brandon Mebane),3.850,3.340
3,10:02,3,8,SEA 15,21,7,Mike Glennon pass incomplete short right intended for Tiquan Underwood,3.340,2.440
3,9:53,4,8,SEA 15,24,7,Rian Lindell 33 yard field goal good. Penalty on SEA: Defensive Offside (Declined),2.440,3.000
3,9:53,,,TAM 35,24,7,"Michael Koenen kicks off 55 yards, returned by Jermaine Kearse for 4 yards (tackle by Spencer Larsen)",0.000,0.280
3,9:43,1,10,SEA 14,24,7,Russell Wilson pass complete short right to Golden Tate for 2 yards (tackle by Lavonte David and Mason Foster),-0.280,-0.510
3,9:05,2,8,SEA 16,24,7,Russell Wilson pass complete deep right to Zach Miller for 17 yards (tackle by Mason Foster),-0.510,1.140
3,8:19,1,10,SEA 33,24,7,Marshawn Lynch left tackle for 13 yards (tackle by Lavonte David),1.140,1.990
3,7:42,1,10,SEA 46,24,7,"Marshawn Lynch left tackle for 2 yards (tackle by Mark Barron). Penalty on Zach Miller: Offensive Holding, 10 yards",1.990,1.470
3,7:22,1,18,SEA 38,24,7,Robert Turbin up the middle for 12 yards (tackle by Mason Foster),1.470,1.990
3,6:46,2,6,,24,7,Russell Wilson pass complete short right to Marshawn Lynch for 2 yards (tackle by Lavonte David),1.990,1.550
3,6:06,3,4,TAM 48,24,7,Russell Wilson pass complete short middle to Golden Tate for 19 yards (tackle by Mark Barron),1.550,3.640
3,5:20,1,10,TAM 29,24,7,Russell Wilson pass complete deep left to Doug Baldwin for 19 yards,3.640,4.910
3,5:06,1,10,TAM 10,24,13,"Russell Wilson right end for 10 yards, touchdown",4.910,7.000
3,5:06,,,TAM 2,24,14,Steven Hauschka kicks extra point good,0.000,0.000
3,5:06,,,SEA 35,24,14,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
3,5:00,1,10,TAM 20,24,14,Mike James right tackle for 3 yards (tackle by Bobby Wagner and Tony McDaniel),0.280,0.140
3,4:22,2,7,TAM 23,24,14,Mike James left tackle for 17 yards (tackle by Kam Chancellor),0.140,1.600
3,3:42,1,10,TAM 40,24,14,"Mike James left tackle for 4 yards (tackle by Bobby Wagner and Earl Thomas). Penalty on Tom Crabtree: Offensive Holding, 10 yards (no play)",1.600,0.940
3,3:13,1,20,TAM 30,24,14,Brian Leonard right guard for 2 yards (tackle by Tony McDaniel and Michael Bennett),0.940,-0.030
3,2:34,2,18,TAM 32,24,14,Brian Leonard left tackle for 4 yards (tackle by Red Bryant and Tony McDaniel),-0.030,-0.160
3,2:02,3,14,TAM 36,24,14,Mike Glennon pass complete short left to Brian Leonard for 8 yards (tackle by Cliff Avril),-0.160,-0.460
3,1:19,4,6,TAM 44,24,14,Michael Koenen punts 52 yards,-0.460,-3.910
3,0:58,1,10,TAM 25,24,14,Marshawn Lynch left guard for 2 yards (tackle by Lavonte David),3.910,3.630
3,0:12,2,8,TAM 23,24,14,Russell Wilson pass complete short right to Ricardo Lockette for 5 yards (tackle by Keith Tandy),3.630,3.660
,,,,,,,"TAM challenged the pass completion ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,TAM,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,TAM 18,24,14,Russell Wilson pass incomplete short left intended for Doug Baldwin,3.660,2.350
4,14:51,4,3,TAM 18,24,17,Steven Hauschka 36 yard field goal good,2.350,3.000
4,14:51,,,SEA 35,24,17,"Steven Hauschka kicks off 66 yards, returned by Eric Page for 18 yards (tackle by Jermaine Kearse)",0.000,0.060
4,14:39,1,10,TAM 17,24,17,Mike Glennon pass complete short left to Erik Lorig for 5 yards (tackle by Bruce Irvin),-0.060,0.210
4,14:13,2,5,TAM 22,24,17,Mike James right tackle for 11 yards (tackle by Earl Thomas),0.210,1.140
4,13:34,1,10,TAM 33,24,17,Mike Glennon pass complete short left to Mike James for 5 yards (tackle by K.J. Wright),1.140,1.270
4,13:00,2,5,TAM 38,24,17,Mike James left end for 2 yards (tackle by Bobby Wagner),1.270,0.830
4,12:16,3,3,TAM 40,24,17,Mike Glennon sacked by Michael Bennett for -7 yards,0.830,-1.180
4,11:45,4,10,TAM 33,24,17,"Michael Koenen punts 42 yards, out of bounds",-1.180,-0.610
4,11:37,1,10,SEA 25,24,17,Russell Wilson pass complete short left to Doug Baldwin for 28 yards (tackle by Darrelle Revis),0.610,2.460
4,11:21,1,10,TAM 47,24,17,Marshawn Lynch right end for -2 yards (tackle by Akeem Spence and William Gholston),2.460,1.640
4,10:41,2,12,TAM 49,24,17,Russell Wilson pass complete short middle to Marshawn Lynch for 9 yards (tackle by Dekoda Watson and Lavonte David),1.640,2.150
4,10:01,3,3,TAM 40,24,17,Russell Wilson pass complete short right to Doug Baldwin for 6 yards (tackle by Darrelle Revis),2.150,3.310
4,9:26,1,10,TAM 34,24,17,Robert Turbin right tackle for 4 yards (tackle by Mark Barron and Derek Landri),3.310,3.310
4,8:49,2,6,TAM 30,24,17,Russell Wilson pass incomplete short middle intended for Marshawn Lynch,3.310,2.610
4,8:44,3,6,TAM 30,24,17,Russell Wilson pass complete deep left to Jermaine Kearse for 27 yards (tackle by Michael Adams),2.610,6.510
4,7:59,1,3,TAM 3,24,17,"Russell Wilson pass incomplete short middle intended for Doug Baldwin is intercepted by Keith Tandy at TAM-0 and returned for 6 yards. Penalty on Russell Wilson: Face Mask (15 Yards), 15 yards",6.510,-0.340
4,7:51,1,10,TAM 21,24,17,Mike James left tackle for 3 yards (tackle by Michael Bennett and Bobby Wagner),0.340,0.210
4,7:10,2,7,TAM 24,24,17,Mike Glennon pass complete short middle to Vincent Jackson for 5 yards (tackle by Brandon Browner),0.210,0.170
4,6:27,3,2,TAM 29,24,17,Mike Glennon pass incomplete,0.170,-1.440
4,6:19,4,2,TAM 29,24,17,"Michael Koenen punts 30 yards, out of bounds",-1.440,-1.660
4,6:13,1,10,SEA 41,24,17,Marshawn Lynch left guard for 3 yards (tackle by Leonard Johnson),1.660,1.530
4,5:42,2,7,SEA 44,24,17,Marshawn Lynch right tackle for 4 yards (tackle by Gerald McCoy and Jonathan Casillas),1.530,1.360
4,5:09,3,3,SEA 48,24,17,Marshawn Lynch left tackle for 4 yards (tackle by Lavonte David and Derek Landri),1.360,2.390
4,4:28,1,10,TAM 48,24,17,Russell Wilson pass complete deep right to Zach Miller for 22 yards (tackle by Keith Tandy),2.390,3.840
4,3:52,1,10,TAM 26,24,17,Robert Turbin up the middle for no gain (tackle by Mark Barron),3.840,3.300
4,3:19,2,10,TAM 26,24,17,Russell Wilson pass complete short right to Golden Tate for 8 yards (tackle by Derek Landri),3.300,3.750
4,2:35,3,2,TAM 18,24,17,Marshawn Lynch right end for 3 yards (tackle by William Gholston),3.750,4.580
4,2:29,1,10,TAM 15,24,17,Russell Wilson right tackle for 3 yards (tackle by Lavonte David),4.580,4.450
4,2:01,2,7,TAM 12,24,17,Marshawn Lynch right tackle for 2 yards (tackle by Gerald McCoy and Adam Hayward),4.450,4.000
4,1:56,3,5,TAM 10,24,23,"Russell Wilson pass complete short right to Doug Baldwin for 10 yards, touchdown",4.000,7.000
4,1:56,,,TAM 2,24,24,Steven Hauschka kicks extra point good,0.000,0.000
4,1:56,,,SEA 35,24,24,"Steven Hauschka kicks off 62 yards, returned by Eric Page for 25 yards (tackle by Mike Morgan)",0.000,-0.810
4,1:45,1,10,TAM 28,24,24,Mike Glennon pass complete short left to Tim Wright for 5 yards (tackle by K.J. Wright),0.810,0.940
4,1:23,2,5,TAM 33,24,24,Mike Glennon up the middle for 10 yards (tackle by Walter Thurmond),0.940,1.800
4,0:56,1,10,TAM 43,24,24,Mike Glennon pass incomplete,1.800,1.250
4,0:50,2,10,TAM 43,24,24,Mike Glennon pass complete short right to Mike James for 3 yards (tackle by Earl Thomas),1.250,0.960
4,0:44,3,7,TAM 46,24,24,Mike Glennon left end for 4 yards (tackle by Earl Thomas and Bruce Irvin),0.960,0.960
4,0:25,3,7,TAM 46,24,24,Timeout #1 by Seattle Seahawks,0.960,-0.060
4,0:25,4,3,,24,24,--,-0.060,-0.390
4,0:25,4,8,TAM 45,24,24,"Michael Koenen punts 35 yards, returned by Golden Tate for 13 yards (tackle by Adam Hayward)",-0.390,-1.140
4,0:16,1,10,SEA 33,24,24,Russell Wilson pass complete short right to Marshawn Lynch for 5 yards (tackle by Gerald McCoy and Johnthan Banks),1.140,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,TAM,SEA,Detail,EPB,EPA
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the overtime kickoff.",,
OT,15:00,,,SEA 35,24,24,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
OT,15:00,1,10,TAM 20,24,24,Mike Glennon for 1 yard,0.280,-0.130
OT,14:33,2,9,TAM 21,24,24,Mike James right guard for 2 yards (tackle by Chris Clemons and Kam Chancellor),-0.130,-0.560
OT,13:51,3,7,TAM 23,24,24,Mike Glennon sacked by Bobby Wagner and Cliff Avril for -7 yards,-0.560,-2.390
OT,13:17,4,14,TAM 16,24,24,"Michael Koenen punts 52 yards, returned by Golden Tate for 8 yards (tackle by Jonathan Casillas)",-2.390,-1.600
OT,13:04,1,10,SEA 40,24,24,Marshawn Lynch left tackle for 10 yards (tackle by Mark Barron),1.600,2.260
OT,12:43,1,10,,24,24,Marshawn Lynch up the middle for 3 yards (tackle by Derek Landri),2.260,2.120
OT,12:05,2,7,TAM 47,24,24,Russell Wilson pass complete short left to Doug Baldwin for 10 yards (tackle by Johnthan Banks),2.120,3.120
OT,11:27,1,10,TAM 37,24,24,Marshawn Lynch right tackle for 4 yards (tackle by Adrian Clayborn and Lavonte David),3.120,3.110
OT,10:54,2,6,TAM 33,24,24,Marshawn Lynch left tackle for no gain (tackle by Derek Landri),3.110,2.410
OT,10:17,3,6,TAM 33,24,24,Marshawn Lynch right tackle for 14 yards (tackle by Leonard Johnson and Keith Tandy),2.410,4.310
OT,9:34,1,10,TAM 19,24,24,Marshawn Lynch left tackle for 13 yards (tackle by Darrelle Revis),4.310,4.310
OT,8:50,1,10,TAM 19,24,24,Timeout #1 by Tampa Bay Buccaneers,4.310,5.830
OT,8:50,1,6,TAM 6,24,24,Russell Wilson kneels for -3 yards,5.830,4.380
OT,8:16,2,9,TAM 9,24,27,Steven Hauschka 27 yard field goal good,4.380,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
