Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,TEN 20,0,0,Antonio Andrews middle for 3 yards (tackle by Telvin Smith),0.280,0.140
1,14:14,2,7,TEN 23,0,0,Marcus Mariota pass complete short right to Harry Douglas for 7 yards (tackle by Aaron Colvin),0.140,0.940
1,13:28,1,10,TEN 30,0,0,Marcus Mariota pass incomplete short middle intended for Craig Stevens (defended by Aaron Colvin),0.940,0.390
1,13:23,2,10,TEN 30,0,0,Antonio Andrews middle for 4 yards (tackle by Telvin Smith),0.390,0.230
1,12:38,3,6,TEN 34,0,0,Marcus Mariota pass complete short right to Dexter McCluster for 9 yards (tackle by Davon House),0.230,1.800
1,11:53,1,10,TEN 43,0,0,Marcus Mariota pass complete short middle to Delanie Walker for 21 yards (tackle by Paul Posluszny),1.800,3.180
1,11:12,1,10,JAX 36,0,0,Antonio Andrews middle for 2 yards (tackle by Jared Odrick),3.180,2.910
1,10:34,2,8,JAX 34,0,0,Marcus Mariota pass complete short middle to Anthony Fasano for 6 yards (tackle by Paul Posluszny),2.910,3.010
1,9:53,3,2,JAX 28,0,0,Marcus Mariota right end for -1 yards (tackle by Andre Branch and Telvin Smith),3.010,1.580
1,9:11,4,3,JAX 29,3,0,Ryan Succop 47 yard field goal good,1.580,3.000
1,9:11,,,TEN 35,3,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
1,9:06,1,10,JAX 20,3,0,Blake Bortles pass incomplete deep left intended for Julius Thomas (defended by Brian Orakpo),0.280,-0.270
1,9:01,2,10,JAX 20,3,0,Blake Bortles pass complete short right to Julius Thomas for 6 yards (tackle by Coty Sensabaugh),-0.270,-0.160
1,8:19,3,4,JAX 26,3,0,Blake Bortles pass incomplete short right intended for Marcedes Lewis,-0.160,-1.630
1,8:14,4,4,JAX 26,3,0,"Bryan Anger punts 52 yards, returned by Dexter McCluster for 6 yards (tackle by Denard Robinson)",-1.630,-0.810
1,8:00,1,10,TEN 28,3,0,Antonio Andrews middle for 12 yards (tackle by Davon House),0.810,1.600
1,7:23,1,10,TEN 40,3,0,Antonio Andrews middle for 2 yards (tackle by Dan Skuta),1.600,1.320
1,6:44,2,8,TEN 42,3,0,Dexter McCluster left end for -4 yards (tackle by Jared Odrick),1.320,0.100
1,6:05,3,12,TEN 38,3,0,Marcus Mariota pass complete short middle to Delanie Walker for 3 yards (tackle by Jonathan Cyprien),0.100,-0.650
1,5:28,4,9,TEN 41,3,0,"Brett Kern punts 45 yards, out of bounds",-0.650,0.280
1,5:21,1,10,JAX 14,3,0,T.J. Yeldon middle for 2 yards (tackle by DaQuan Jones and Wesley Woodyard),-0.280,-0.510
1,4:46,2,8,JAX 16,3,0,Blake Bortles pass complete short left to Julius Thomas for 2 yards (tackle by Da'Norris Searcy),-0.510,-0.920
1,4:08,3,6,JAX 18,3,0,Blake Bortles pass complete deep middle to Bryan Walters for 31 yards (tackle by Perrish Cox),-0.920,2.190
1,3:31,1,10,JAX 49,3,0,T.J. Yeldon middle for 15 yards (tackle by Da'Norris Searcy),2.190,3.180
1,2:48,1,10,TEN 36,3,0,T.J. Yeldon right end for 1 yard (tackle by Ropati Pitoitua),3.180,2.770
1,2:10,2,9,TEN 35,3,0,Blake Bortles pass complete short left to Bryan Walters for 4 yards (tackle by Cody Riggs),2.770,2.610
1,1:32,3,5,TEN 31,3,0,Blake Bortles pass complete short right to Julius Thomas for 12 yards (tackle by Zach Brown),2.610,4.310
1,0:50,1,10,TEN 19,3,0,Blake Bortles pass incomplete deep right intended for Marcedes Lewis,4.310,3.750
1,0:45,2,10,TEN 19,3,0,T.J. Yeldon left end for 6 yards (tackle by Angelo Blackson),3.750,3.960
Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,TEN 13,3,0,Blake Bortles pass incomplete short right intended for Bryan Walters,3.960,2.640
2,14:53,4,4,TEN 13,3,3,Jason Myers 31 yard field goal good,2.640,3.000
2,14:53,,,JAX 35,3,3,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
2,14:50,1,10,TEN 20,3,3,Marcus Mariota pass complete deep middle to Delanie Walker for 29 yards (tackle by Jonathan Cyprien),0.280,2.190
2,14:23,1,10,TEN 49,3,3,David Cobb left end for 2 yards (tackle by Roy Miller),2.190,1.920
2,13:44,2,8,JAX 49,3,3,Marcus Mariota pass incomplete short left intended for Dorial Green-Beckham (defended by Roy Miller),1.920,1.220
2,13:41,3,8,JAX 49,3,3,"Marcus Mariota pass incomplete short right intended for Dorial Green-Beckham (defended by Aaron Colvin). Penalty on Aaron Colvin: Defensive Holding, 5 yards (no play)",1.220,2.650
2,13:36,1,10,JAX 44,3,3,David Cobb middle for 1 yard (tackle by Abry Jones),2.650,2.250
2,12:55,2,9,JAX 43,3,3,Marcus Mariota pass complete short left to Dorial Green-Beckham for 10 yards,2.250,3.380
2,12:29,1,10,JAX 33,3,3,David Cobb left end for -3 yards (tackle by Roy Miller),3.380,2.430
2,11:52,2,13,JAX 36,3,3,Dexter McCluster left end for 4 yards (tackle by Paul Posluszny),2.430,2.280
2,11:08,3,9,JAX 32,3,3,Marcus Mariota pass incomplete deep left intended for Dorial Green-Beckham,2.280,1.240
2,11:03,4,9,JAX 32,6,3,Ryan Succop 49 yard field goal good,1.240,3.000
2,11:03,,,TEN 35,6,3,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
2,10:58,1,10,JAX 20,6,3,Blake Bortles left end for 13 yards,0.280,1.140
2,10:13,1,10,JAX 33,6,3,"Blake Bortles pass complete short right to Rashad Greene for 2 yards (tackle by Coty Sensabaugh). Penalty on Cody Riggs: Face Mask (15 Yards), 15 yards",1.140,2.260
2,9:55,1,10,,6,3,T.J. Yeldon left end for 9 yards (tackle by Avery Williamson),2.260,2.930
2,9:12,2,1,TEN 41,6,3,T.J. Yeldon right end for no gain (tackle by Zach Brown),2.930,2.210
2,8:33,3,1,TEN 41,6,3,"Blake Bortles middle for -4 yards (tackle by Brian Orakpo). Blake Bortles fumbles (forced by Brian Orakpo), recovered by David Bass at TEN-45 (tackle by T.J. Yeldon)",2.210,-1.930
2,8:26,1,10,TEN 45,6,3,Antonio Andrews middle for 1 yard (tackle by Jared Odrick),1.930,1.520
2,7:51,2,9,TEN 46,6,3,Marcus Mariota pass incomplete deep right intended for Dorial Green-Beckham (defended by Davon House),1.520,0.830
2,7:45,3,9,TEN 46,6,3,Marcus Mariota pass incomplete deep right intended for Delanie Walker,0.830,-0.320
2,7:40,4,9,TEN 46,6,3,"Brett Kern punts 39 yards, fair catch by Bryan Walters. Penalty on Cody Riggs: Fair Catch Interference, 15 yards",-0.320,-0.940
2,7:32,1,10,JAX 30,6,3,Denard Robinson middle for 10 yards (tackle by Avery Williamson and Michael Griffin),0.940,1.600
2,6:55,1,10,JAX 40,6,3,Blake Bortles pass complete short right to Clay Harbor for 10 yards (tackle by Michael Griffin),1.600,2.260
2,6:23,1,10,,6,3,Blake Bortles pass incomplete deep right intended for Allen Robinson,2.260,1.710
2,6:18,2,10,,6,3,Denard Robinson middle for 5 yards (tackle by Sammie Lee Hill),1.710,1.690
2,5:40,3,5,TEN 45,6,3,Blake Bortles pass complete short right to Allen Hurns for 7 yards (tackle by Coty Sensabaugh),1.690,3.050
2,5:04,1,10,TEN 38,6,3,Bryan Walters pass incomplete deep right intended for Allen Robinson,3.050,2.510
2,4:58,2,10,TEN 38,6,3,"T.J. Yeldon right end for 4 yards (tackle by David Bass). Penalty on Luke Joeckel: Offensive Holding, 10 yards (no play)",2.510,1.160
2,4:30,2,20,TEN 48,6,3,Blake Bortles sacked by Wesley Woodyard for -6 yards,1.160,-0.300
2,3:50,3,26,JAX 46,6,3,Blake Bortles pass complete short left to T.J. Yeldon for 13 yards (tackle by Cody Riggs),-0.300,0.530
2,3:08,4,13,TEN 41,6,3,"Bryan Anger punts 35 yards, fair catch by Dexter McCluster",0.530,0.380
2,3:01,1,10,TEN 6,6,3,David Cobb middle for -3 yards (tackle by Tyson Alualu),-0.380,-1.000
2,2:15,2,13,TEN 3,6,3,"Penalty on Marcus Mariota: Delay of Game, 1 yards (no play)",-1.000,-1.070
2,2:00,2,14,TEN 2,6,3,Marcus Mariota pass incomplete deep right intended for Rico Richardson,-1.070,-1.890
2,1:55,3,14,TEN 2,6,3,Marcus Mariota pass incomplete short middle intended for Harry Douglas (defended by Aaron Colvin),-1.890,-2.490
2,1:49,4,14,TEN 2,6,3,"Brett Kern punts 53 yards, returned by Rashad Greene for -12 yards (tackle by Phillip Supernaw). Penalty on Sergio Brown: Running Into the Kicker, 5 yards (no play)",-2.490,-2.490
2,1:38,4,9,TEN 7,6,3,"Brett Kern punts 56 yards, returned by Rashad Greene for 13 yards",-2.490,-2.260
2,1:26,1,10,,6,3,Blake Bortles pass complete deep right to Allen Robinson for 38 yards (tackle by Coty Sensabaugh),2.260,4.780
2,0:53,1,10,TEN 12,6,3,Denard Robinson right end for 5 yards (tackle by Daimion Stafford),4.780,4.780
2,0:49,1,10,TEN 12,6,3,Timeout #1 by Jacksonville Jaguars,4.780,5.020
2,0:49,2,5,TEN 7,6,3,Denard Robinson middle for 2 yards (tackle by David Bass),5.020,5.020
2,0:43,2,5,TEN 7,6,3,Timeout #2 by Jacksonville Jaguars,5.020,4.610
2,0:43,3,3,TEN 5,6,3,Blake Bortles sacked by Brian Orakpo for -9 yards,4.610,4.610
2,0:35,3,3,TEN 5,6,3,Timeout #1 by Tennessee Titans,4.610,2.510
2,0:35,4,12,TEN 14,6,6,Jason Myers 32 yard field goal good,2.510,3.000
2,0:35,,,JAX 35,6,6,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
2,0:31,1,10,TEN 20,6,6,Marcus Mariota pass complete short right to Harry Douglas for 9 yards,0.280,0.950
2,0:26,2,1,TEN 29,6,6,Marcus Mariota pass complete deep middle to Delanie Walker for 17 yards (tackle by Jonathan Cyprien),0.950,0.950
2,0:17,2,1,TEN 29,6,6,Timeout #2 by Tennessee Titans,0.950,1.990
2,0:17,1,10,TEN 46,6,6,"Marcus Mariota pass incomplete short right intended for Harry Douglas. Penalty on Dwayne Gratz: Defensive Holding, 5 yards (no play)",1.990,2.320
2,0:12,1,10,JAX 49,6,6,Marcus Mariota sacked by Ryan Davis for -1 yards,2.320,2.320
2,0:06,1,10,JAX 49,6,6,Timeout #3 by Tennessee Titans,2.320,2.320
2,0:06,1,10,JAX 49,6,6,Timeout #3 by Jacksonville Jaguars,2.320,1.650
2,0:06,2,11,,6,6,Marcus Mariota pass complete short middle to Delanie Walker for 17 yards (tackle by Telvin Smith),1.650,1.140
Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
