Unnamed: 0,TEN,JAX
First Downs,22,18
Rush-Yds-TDs,26-104-1,23-90-0
Cmp-Att-Yd-TD-INT,22-35-231-0-0,21-31-242-1-1
Sacked-Yards,4-19,4-24
Net Pass Yards,212,218
Total Yards,316,308
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-59,8-88
Third Down Conv.,5-13,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:35,28:25
