Unnamed: 0,CLE,NOR
First Downs,17,19
Rush-Yds-TDs,37-163-2,21-74-1
Cmp-Att-Yd-TD-INT,12-22-182-1-2,23-40-318-0-3
Sacked-Yards,1-6,2-9
Net Pass Yards,176,309
Total Yards,339,383
Fumbles-Lost,1-0,4-3
Turnovers,2,6
Penalties-Yards,4-31,5-24
Third Down Conv.,5-13,3-11
Fourth Down Conv.,0-0,1-1
Time of Possession,31:11,28:49
