Quarter,Time,Tm,Detail,CLE,NOR
1.0,11:09,Saints,John Carney 33 yard field goal,0,3
,3:30,Browns,William Green 1 yard rush (Phil Dawson kick),7,3
2.0,14:06,Saints,John Carney 27 yard field goal,7,6
,3:50,Browns,Dennis Northcutt 36 yard rush (Phil Dawson kick),14,6
3.0,8:18,Saints,James Fenderson 17 yard rush (pass failed),14,12
,4:44,Browns,Kevin Johnson 24 yard pass from Tim Couch (Phil Dawson kick),21,12
4.0,10:14,Saints,John Carney 48 yard field goal,21,15
,3:25,Browns,Phil Dawson 28 yard field goal,24,15
