Unnamed: 0,STL,DAL
First Downs,12,28
Rush-Yds-TDs,21-62-0,33-171-2
Cmp-Att-Yd-TD-INT,14-30-143-0-1,21-33-339-3-1
Sacked-Yards,3-18,1-8
Net Pass Yards,125,331
Total Yards,187,502
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,7-50,2-10
Third Down Conv.,3-12,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:11,32:49
