Quarter,Time,Tm,Detail,STL,DAL
2.0,7:15,Cowboys,Julius Jones 2 yard rush (Nick Folk kick),0,7
,2:11,Rams,Dante Hall 85 yard punt return (Jeff Wilkins kick),7,7
,0:11,Cowboys,Tony Romo 15 yard rush (Nick Folk kick),7,14
3.0,12:41,Cowboys,Patrick Crayton 59 yard pass from Tony Romo (Nick Folk kick),7,21
,9:40,Cowboys,Patrick Crayton 37 yard pass from Tony Romo (Nick Folk kick),7,28
,2:22,Cowboys,Jason Witten 17 yard pass from Tony Romo (Nick Folk kick),7,35
