Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 78 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Tony Romo pass complete short right to Jason Witten for 8 yards (tackle by Corey Chavous),0.280,0.810
1,14:22,2,2,DAL 28,0,0,Julius Jones left tackle for no gain (tackle by Brandon Chillar),0.810,0.100
1,13:42,3,2,DAL 28,0,0,Julius Jones right guard for 1 yard (tackle by Will Witherspoon),0.100,-1.440
1,13:01,4,1,DAL 29,0,0,"Mat McBriar punts 49 yards, returned by Dante Hall for 14 yards (tackle by Pat Watkins)",-1.440,-1.330
1,12:47,1,10,STL 36,0,0,Brian Leonard up the middle for 4 yards (tackle by Ken Hamlin),1.330,1.330
1,12:14,2,6,STL 40,0,0,Marc Bulger pass incomplete short left intended for Drew Bennett,1.330,0.630
1,12:09,2,6,STL 40,0,0,Timeout #1 by St. Louis Rams,1.330,0.630
1,12:09,3,6,STL 40,0,0,Marc Bulger pass complete short middle to Torry Holt for 11 yards (tackle by Anthony Henry),0.630,2.320
1,11:37,1,10,DAL 49,0,0,Brian Leonard right guard for -1 yards (tackle by Akin Ayodele and Chris Canty),2.320,1.650
1,11:01,2,11,,0,0,Marc Bulger sacked by DeMarcus Ware for -8 yards,1.650,-0.100
1,10:25,3,19,STL 42,0,0,Marc Bulger pass incomplete deep left intended for Torry Holt,-0.100,-0.590
1,10:19,4,19,STL 42,0,0,"Donnie Jones punts 47 yards, fair catch by Patrick Crayton",-0.590,0.370
1,10:11,1,10,DAL 11,0,0,Tony Romo pass incomplete deep left intended for Terrell Owens,-0.370,-0.780
1,10:05,2,10,DAL 11,0,0,Tony Romo pass complete short left to Terrell Owens for 14 yards,-0.780,0.610
1,9:42,1,10,DAL 25,0,0,Julius Jones left tackle for 2 yards (tackle by La'Roi Glover),0.610,0.330
1,9:04,2,8,DAL 27,0,0,Tony Romo sacked by Corey Chavous for -8 yards,0.330,-1.510
1,8:28,3,16,DAL 19,0,0,Tony Romo pass incomplete deep middle intended for Terrell Owens,-1.510,-2.140
1,8:22,4,16,DAL 19,0,0,"Mat McBriar punts 58 yards, returned by Dante Hall for 9 yards (tackle by L.P. Ladouceur)",-2.140,-1.070
1,8:09,1,10,STL 32,0,0,Brian Leonard up the middle for 8 yards (tackle by Jacques Reeves and Roy Williams),1.070,1.610
1,7:38,2,2,STL 40,0,0,"Marc Bulger pass complete short right to Torry Holt for 3 yards (tackle by Jacques Reeves). Torry Holt fumbles (forced by Jacques Reeves), recovered by Torry Holt at STL-43",1.610,1.800
1,6:57,1,10,STL 43,0,0,Brian Leonard up the middle for 8 yards (tackle by Anthony Spencer),1.800,2.330
1,6:26,2,2,DAL 49,0,0,Marc Bulger pass complete short middle to Randy McMichael for 5 yards (tackle by Bradie James),2.330,2.650
1,5:47,1,10,DAL 44,0,0,Marc Bulger pass incomplete short left intended for Randy McMichael,2.650,2.110
1,5:42,2,10,DAL 44,0,0,"Penalty on Torry Holt: False Start, 5 yards (no play)",2.110,1.440
1,5:42,2,15,DAL 49,0,0,Marc Bulger pass incomplete deep right intended for Torry Holt,1.440,0.760
1,5:36,3,15,DAL 49,0,0,Travis Minor up the middle for -1 yards (tackle by DeMarcus Ware),0.760,-0.060
1,4:59,4,16,,0,0,"Donnie Jones punts 50 yards, touchback",-0.060,-0.280
1,4:48,1,10,DAL 20,0,0,Marion Barber left tackle for no gain (tackle by Adam Carriker),0.280,-0.270
1,4:05,2,10,DAL 20,0,0,Tony Romo pass complete short right to Terrell Owens for 7 yards (tackle by Will Witherspoon),-0.270,-0.030
1,3:28,3,3,DAL 27,0,0,Tony Romo pass incomplete intended for Terrell Owens,-0.030,-1.570
,,,,,,,"STL challenged the pass completion ruling, and the original play was overturned.",,
1,3:24,4,3,DAL 27,0,0,"Mat McBriar punts 45 yards, returned by Dante Hall for 3 yards (tackle by Miles Austin)",-1.570,-1.000
1,3:13,1,10,STL 31,0,0,Marc Bulger pass incomplete deep middle intended for Torry Holt (defended by Anthony Henry),1.000,0.460
1,3:06,2,10,STL 31,0,0,Brian Leonard left guard for 2 yards (tackle by DeMarcus Ware and Stephen Bowen),0.460,0.040
1,2:31,3,8,STL 33,0,0,Marc Bulger pass incomplete short left intended for Torry Holt,0.040,-1.180
1,2:26,4,8,STL 33,0,0,Donnie Jones punts 66 yards,-1.180,0.380
1,2:11,1,10,DAL 1,0,0,Marion Barber up the middle for 8 yards (tackle by James Hall),-0.380,-0.200
1,1:32,2,2,DAL 9,0,0,Marion Barber left tackle for 3 yards (tackle by Clifton Ryan),-0.200,-0.350
1,0:52,1,10,DAL 12,0,0,Tony Romo pass complete short middle to Patrick Crayton for 14 yards (tackle by Will Witherspoon),-0.350,0.670
1,0:07,1,10,DAL 26,0,0,Tony Romo pass incomplete deep left intended for Terrell Owens is intercepted by O.J. Atogwe at STL-43 and returned for 31 yards,0.670,-3.840
Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 26,0,0,Marc Bulger pass incomplete deep right intended for Torry Holt,3.840,3.300
2,14:55,2,10,DAL 26,0,0,"Marc Bulger pass incomplete short left intended for Isaac Bruce. Penalty on Alex Barron: Face Mask (15 Yards), 15 yards (no play)",3.300,1.270
2,14:15,2,25,DAL 41,0,0,Brian Leonard up the middle for 2 yards,1.270,0.890
2,14:04,3,23,DAL 39,0,0,Marc Bulger pass complete short middle to Isaac Bruce for 24 yards (tackle by Roy Williams),0.890,4.580
2,13:27,1,10,DAL 15,0,0,Brian Leonard up the middle for 5 yards (tackle by Bradie James),4.580,4.840
2,12:50,2,5,DAL 10,0,0,Brian Leonard up the middle for no gain (tackle by Akin Ayodele),4.840,4.000
2,12:09,3,5,DAL 10,0,0,Marc Bulger pass incomplete short middle intended for Drew Bennett,4.000,2.810
2,12:04,4,5,DAL 10,0,0,Jeff Wilkins 28 yard field goal no good,2.810,-0.280
2,12:00,1,10,DAL 20,0,0,Tony Romo pass incomplete short right intended for Terrell Owens,0.280,-0.270
2,11:56,2,10,DAL 20,0,0,Julius Jones up the middle for 6 yards (tackle by Todd Johnson and Pisa Tinoisamoa),-0.270,-0.160
2,11:12,3,4,DAL 26,0,0,Tony Romo pass complete short right to Terrell Owens for 12 yards (tackle by O.J. Atogwe),-0.160,1.470
2,10:36,1,10,DAL 38,0,0,Tony Romo pass complete deep left to Jason Witten for 18 yards (tackle by Lenny Walls),1.470,2.650
2,9:47,1,10,STL 44,0,0,Tony Romo up the middle for 5 yards (tackle by La'Roi Glover),2.650,2.780
2,9:11,2,5,STL 39,0,0,"Julius Jones up the middle for 2 yards (tackle by Adam Carriker). Penalty on La'Roi Glover: Defensive Offside, 5 yards (no play)",2.780,3.310
