Unnamed: 0,KAN,HOU
First Downs,27,20
Rush-Yds-TDs,35-168-3,26-107-0
Cmp-Att-Yd-TD-INT,16-28-262-1-2,24-38-218-2-2
Sacked-Yards,1-4,1-9
Net Pass Yards,258,209
Total Yards,426,316
Fumbles-Lost,1-0,2-2
Turnovers,2,4
Penalties-Yards,4-20,10-74
Third Down Conv.,7-13,4-15
Fourth Down Conv.,0-0,2-2
Time of Possession,30:21,29:39
