Unnamed: 0,BAL,NOR
First Downs,23,26
Rush-Yds-TDs,32-215-2,21-126-0
Cmp-Att-Yd-TD-INT,18-24-243-1-0,35-45-420-3-1
Sacked-Yards,1-9,4-21
Net Pass Yards,234,399
Total Yards,449,525
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,6-42,5-50
Third Down Conv.,9-13,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,30:15,29:45
