Quarter,Time,Tm,Detail,GNB,DAL
1.0,11:23,Cowboys,Dan Bailey 50 yard field goal,0,3
,8:58,Packers,Richard Rodgers 34 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
2.0,14:05,Packers,Ty Montgomery 3 yard rush (Mason Crosby kick),14,3
,7:37,Packers,Ty Montgomery 1 yard rush (Mason Crosby kick),21,3
,6:03,Cowboys,Dez Bryant 40 yard pass from Dak Prescott (Dan Bailey kick),21,10
,1:00,Cowboys,Dan Bailey 33 yard field goal,21,13
3.0,11:25,Packers,Jared Cook 3 yard pass from Aaron Rodgers (Mason Crosby kick),28,13
4.0,11:39,Cowboys,Jason Witten 6 yard pass from Dak Prescott (Dan Bailey kick),28,20
,4:08,Cowboys,Dez Bryant 7 yard pass from Dak Prescott (Dak Prescott run),28,28
,1:33,Packers,Mason Crosby 56 yard field goal,31,28
,0:35,Cowboys,Dan Bailey 52 yard field goal,31,31
,0:00,Packers,Mason Crosby 51 yard field goal,34,31
