Unnamed: 0,GNB,DAL
First Downs,27,25
Rush-Yds-TDs,17-87-2,24-138-0
Cmp-Att-Yd-TD-INT,28-43-355-2-1,24-38-302-3-1
Sacked-Yards,3-29,2-11
Net Pass Yards,326,291
Total Yards,413,429
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,3-22,6-50
Third Down Conv.,6-11,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,29:46,30:14
