Quarter,Time,Down,ToGo,Location,GNB,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left tackle for 2 yards (tackle by Morgan Burnett),0.610,0.330
1,14:24,2,8,DAL 27,0,0,Dak Prescott pass complete short right to Terrance Williams for 13 yards (tackle by Micah Hyde),0.330,1.600
1,14:02,1,10,DAL 40,0,0,Ezekiel Elliott left end for 7 yards (tackle by Clay Matthews),1.600,2.000
1,13:22,2,3,DAL 47,0,0,Dak Prescott pass complete short left to Dez Bryant for 13 yards (tackle by Ladarius Gunter),2.000,2.920
1,12:57,1,10,GNB 40,0,0,Dak Prescott sacked by Micah Hyde for -6 yards,2.920,1.560
1,12:15,2,16,GNB 46,0,0,Dak Prescott pass complete short right to Cole Beasley for 14 yards (tackle by Morgan Burnett and Julius Peppers),1.560,2.740
1,11:33,3,2,GNB 32,0,0,Dak Prescott pass incomplete deep right intended for Dez Bryant (defended by Ladarius Gunter),2.740,1.300
1,11:28,4,2,GNB 32,0,3,Dan Bailey 50 yard field goal good,1.300,3.000
1,11:23,,,DAL 35,0,3,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
1,11:23,1,10,GNB 25,0,3,Aaron Rodgers pass complete short middle to Ty Montgomery for 5 yards (tackle by David Irving),0.610,0.740
1,10:42,2,5,GNB 30,0,3,Aaron Ripkowski middle for no gain (tackle by Benson Mayowa),0.740,0.040
1,10:23,3,5,GNB 30,0,3,"Aaron Rodgers pass incomplete deep left intended for Davante Adams. Penalty on Benson Mayowa: Defensive 12 On-field, 5 yards (no play)",0.040,0.000
1,10:19,,,,0,3,Timeout #1 by Dallas Cowboys,0.000,-1.270
1,10:19,1,10,GNB 35,0,3,Ty Montgomery left tackle for 15 yards (tackle by Anthony Hitchens),1.270,2.260
1,9:47,1,10,,0,3,Aaron Rodgers pass complete short right to Randall Cobb for 16 yards (tackle by Anthony Hitchens and Sean Lee),2.260,3.310
1,9:06,1,10,DAL 34,6,3,"Aaron Rodgers pass complete deep left to Richard Rodgers for 34 yards, touchdown. Penalty on David Irving: Defensive Offside (Declined)",3.310,7.000
1,8:58,,,DAL 15,7,3,Mason Crosby kicks extra point good,0.000,0.000
1,8:58,,,GNB 35,7,3,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
1,8:58,1,10,DAL 25,7,3,Ezekiel Elliott middle for 5 yards (tackle by Datone Jones),0.610,0.740
1,8:22,2,5,DAL 30,7,3,"Dak Prescott pass incomplete deep right intended for Dez Bryant. Penalty on Ladarius Gunter: Defensive Holding, 5 yards (no play)",0.740,1.270
1,8:14,1,10,DAL 35,7,3,Ezekiel Elliott right end for 9 yards (tackle by Morgan Burnett and Damarious Randall),1.270,1.940
1,7:46,2,1,DAL 44,7,3,Ezekiel Elliott middle for 2 yards (tackle by Datone Jones),1.940,1.990
1,7:02,1,10,DAL 46,7,3,Dak Prescott pass complete short middle to Terrance Williams for 12 yards (tackle by Damarious Randall),1.990,2.790
1,6:35,1,10,GNB 42,7,3,Ezekiel Elliott left guard for 5 yards (tackle by Kenny Clark),2.790,2.920
1,5:55,2,5,GNB 37,7,3,"Dak Prescott pass complete short right to Terrance Williams for 22 yards (tackle by Damarious Randall). Penalty on Brice Butler: Unsportsmanlike Conduct, 15 yards (no play)",2.920,0.890
1,5:15,2,20,DAL 48,7,3,Dak Prescott pass incomplete deep middle intended for Brice Butler (defended by Micah Hyde),0.890,0.230
1,5:09,3,20,DAL 48,7,3,Dak Prescott pass incomplete deep middle intended for Brice Butler,0.230,-0.190
1,5:01,4,20,DAL 48,7,3,"Chris Jones punts 42 yards, fair catch by Randall Cobb",-0.190,0.380
1,4:52,1,10,GNB 10,7,3,Aaron Ripkowski left guard for 3 yards (tackle by Anthony Hitchens),-0.380,-0.560
1,4:11,2,7,GNB 13,7,3,Aaron Rodgers pass incomplete deep left intended for Jared Cook,-0.560,-1.070
1,4:05,3,7,GNB 13,7,3,Aaron Rodgers pass complete short right to Jared Cook for 14 yards (tackle by Byron Jones),-1.070,0.740
1,3:27,1,10,GNB 27,7,3,Ty Montgomery right tackle for 7 yards (tackle by Barry Church and Sean Lee),0.740,1.140
1,2:42,2,3,GNB 34,7,3,Aaron Rodgers pass incomplete short middle intended for Geronimo Allison,1.140,0.430
1,2:38,3,3,GNB 34,7,3,Aaron Rodgers pass complete short middle to Geronimo Allison for 9 yards (tackle by Brandon Carr),0.430,1.800
1,1:50,1,10,GNB 43,7,3,Aaron Rodgers pass complete short right to Randall Cobb for 8 yards (tackle by Damien Wilson),1.800,2.330
1,1:10,2,2,DAL 49,7,3,Aaron Rodgers pass incomplete deep right intended for Davante Adams,2.330,1.620
1,1:04,3,2,DAL 49,7,3,Aaron Rodgers pass complete deep left to Davante Adams for 32 yards (tackle by J.J. Wilcox),1.620,4.440
1,0:16,1,10,DAL 17,7,3,Aaron Rodgers pass complete short right to Randall Cobb for 8 yards (tackle by Orlando Scandrick),4.440,5.290
Quarter,Time,Down,ToGo,Location,GNB,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,DAL 9,7,3,Aaron Rodgers pass complete short right to Ty Montgomery for 6 yards (tackle by Morris Claiborne),5.290,6.510
2,14:23,1,3,DAL 3,7,3,Aaron Rodgers pass incomplete short left intended for Jared Cook (defended by Byron Jones),6.510,5.530
2,14:18,2,3,DAL 3,13,3,"Ty Montgomery left guard for 3 yards, touchdown",5.530,7.000
2,14:05,,,DAL 15,14,3,Mason Crosby kicks extra point good,0.000,0.000
2,14:05,,,GNB 35,14,3,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
2,14:05,1,10,DAL 25,14,3,Dak Prescott pass incomplete deep right intended for Terrance Williams,0.610,0.060
2,13:59,2,10,DAL 25,14,3,Ezekiel Elliott right guard for 2 yards (tackle by Mike Daniels),0.060,-0.360
2,13:14,3,8,DAL 27,14,3,Dak Prescott pass incomplete short right intended for Cole Beasley,-0.360,-1.570
2,13:09,4,8,DAL 27,14,3,"Chris Jones punts 53 yards, fair catch by Micah Hyde",-1.570,-0.280
2,13:01,1,10,GNB 20,14,3,Aaron Rodgers pass complete short right to Jared Cook for 6 yards (tackle by Anthony Hitchens),0.280,0.540
2,13:00,2,4,GNB 26,14,3,"Penalty on Lane Taylor: False Start, 5 yards (no play)",0.540,-0.130
2,11:59,2,9,GNB 21,14,3,Aaron Rodgers pass complete short right to Geronimo Allison for 11 yards (tackle by Anthony Brown),-0.130,1.070
2,11:14,1,10,GNB 32,14,3,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,1.070,0.000
2,11:09,,,,14,3,Timeout #1 by Green Bay Packers,0.000,-0.530
2,11:09,2,10,GNB 32,14,3,Aaron Rodgers pass complete short left to Randall Cobb for 4 yards (tackle by Byron Jones),0.530,0.370
2,10:33,3,6,GNB 36,14,3,"Aaron Rodgers pass incomplete short right intended for Davante Adams. Penalty on Morris Claiborne: Illegal Use of Hands, 5 yards (no play)",0.370,1.660
2,10:28,1,10,GNB 41,14,3,Aaron Rodgers pass complete deep right to Geronimo Allison for 26 yards (tackle by Morris Claiborne),1.660,3.380
2,9:36,1,10,DAL 33,14,3,Aaron Rodgers pass complete short left to Randall Cobb for 2 yards (tackle by J.J. Wilcox),3.380,3.110
2,9:02,2,8,DAL 31,14,3,Aaron Ripkowski left tackle for 20 yards (tackle by Byron Jones),3.110,4.840
2,8:14,1,10,DAL 11,14,3,Aaron Rodgers pass complete short right to Davante Adams for 10 yards (tackle by Morris Claiborne),4.840,6.970
2,8:14,1,1,DAL 1,20,3,"Ty Montgomery left tackle for 1 yard, touchdown",6.970,7.000
2,7:37,,,DAL 15,21,3,Mason Crosby kicks extra point good,0.000,0.000
2,7:37,,,GNB 35,21,3,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
2,7:37,1,10,DAL 25,21,3,Dak Prescott pass complete short left to Jason Witten for 5 yards (tackle by Jake Ryan),0.610,0.740
2,7:03,2,5,DAL 30,21,3,Ezekiel Elliott right guard for 9 yards (tackle by Kentrell Brice),0.740,1.530
2,6:32,1,10,DAL 39,21,3,Dak Prescott pass complete deep left to Dez Bryant for 21 yards (tackle by Ladarius Gunter),1.530,2.920
2,6:10,1,10,GNB 40,21,9,"Dak Prescott pass complete deep left to Dez Bryant for 40 yards, touchdown",2.920,7.000
2,6:03,,,GNB 15,21,10,Dan Bailey kicks extra point good,0.000,0.000
2,6:03,,,DAL 35,21,10,"Dan Bailey kicks off 66 yards, muffed catch by Christine Michael, recovered by Christine Michael at GB-0, and returned for 6 yards",0.000,0.380
2,5:59,1,10,GNB 6,21,10,Aaron Ripkowski middle for 1 yard (tackle by Tyrone Crawford and Anthony Hitchens),-0.380,-0.710
2,5:17,2,9,GNB 7,21,10,Aaron Rodgers pass incomplete short right intended for Geronimo Allison,-0.710,0.000
2,5:15,,,,21,10,Timeout #2 by Dallas Cowboys,0.000,1.300
2,5:15,3,9,GNB 7,21,10,Aaron Rodgers pass incomplete short middle intended for Davante Adams,-1.300,-2.490
