Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
1,9:21,2,16,KAN 17,0,0,Byron Leftwich pass complete to Kyle Brady for 10 yards (tackle by Greg Wesley),3.330,3.980
1,8:40,3,6,KAN 7,0,6,"Byron Leftwich up the middle for 7 yards, touchdown",3.980,7.000
1,,,,KAN 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,7,"Josh Scobee kicks off 56 yards, returned by Dante Hall for 11 yards (tackle by Nick Sorensen)",0.000,0.610
1,8:29,1,10,KAN 25,0,7,Priest Holmes left tackle for 2 yards (tackle by Mike Peterson and Greg Favors),0.610,0.330
1,7:52,2,8,KAN 27,0,7,Trent Green pass complete to Priest Holmes for 15 yards (tackle by John Henderson),0.330,1.730
1,7:10,1,10,KAN 42,0,7,Trent Green pass incomplete intended for Priest Holmes,1.730,1.190
1,7:03,2,10,KAN 42,0,7,Priest Holmes right tackle for 2 yards (tackle by Mike Peterson),1.190,0.760
1,6:25,3,8,KAN 44,0,7,Trent Green pass incomplete intended for Eddie Kennison,0.760,-0.460
1,6:19,4,8,KAN 44,0,7,"Stephen Cheek punts 40 yards, fair catch by Jermaine Lewis",-0.460,0.140
1,6:12,1,10,JAX 16,0,7,Fred Taylor right end for 2 yards (tackle by Jerome Woods),-0.140,-0.350
1,5:34,2,8,JAX 18,0,7,Fred Taylor up the middle for 2 yards (tackle by Eric Hicks),-0.350,-0.820
1,4:54,3,6,JAX 20,0,7,Byron Leftwich sacked by Jared Allen for -3 yards,-0.820,-2.320
1,4:44,4,9,JAX 17,0,7,"Chris Hanson punts 46 yards, returned by Dante Hall for -3 yards (tackle by Nick Sorensen)",-2.320,-1.200
1,4:32,1,10,KAN 34,0,7,Trent Green pass complete to Johnnie Morton for 52 yards (tackle by Donovin Darius),1.200,4.650
1,4:32,1,10,JAX 14,0,7,"Penalty on Brian Waters: False Start, 5 yards (no play)",4.650,4.260
1,3:25,1,15,JAX 19,0,7,"Trent Green pass incomplete intended for Johnnie Morton. Penalty on Rob Meier: Roughing the Passer, 10 yards, Penalty on Akin Ayodele: Illegal Contact (Declined) (no play)",4.260,5.140
1,3:19,1,9,JAX 9,0,7,Priest Holmes up the middle for 4 yards (tackle by Akin Ayodele),5.140,5.150
1,2:47,2,5,JAX 5,0,7,Trent Green pass incomplete intended for Eddie Kennison,5.150,4.260
1,2:42,3,5,JAX 5,0,7,Trent Green sacked by Marcus Stroud for -8 yards,4.260,2.570
1,2:06,4,13,JAX 13,3,7,Lawrence Tynes 31 yard field goal good,2.570,3.000
1,,,,KAN 30,3,7,"Lawrence Tynes kicks off 65 yards, returned by Jermaine Lewis for 16 yards (tackle by Gary Stills)",0.000,0.340
1,1:56,1,10,JAX 21,3,7,Fred Taylor right tackle for 2 yards (tackle by Eric Warfield),0.340,0.070
1,1:20,2,8,JAX 23,3,7,Fred Taylor up the middle for 7 yards (tackle by Greg Wesley and Vonnie Holliday),0.070,0.300
1,0:41,3,1,JAX 30,3,7,Fred Taylor up the middle for 2 yards (tackle by William Bartee),0.300,1.070
Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 32,3,7,Byron Leftwich pass complete to Kyle Brady for 4 yards (tackle by Scott Fujita),1.070,1.070
2,14:21,2,6,JAX 36,3,13,"Byron Leftwich pass complete to Fred Taylor for 64 yards, touchdown",1.070,7.000
2,,,,KAN 2,3,14,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,3,14,"Josh Scobee kicks off 64 yards, returned by Dante Hall for 17 yards (tackle by Tommy Hendricks)",0.000,0.480
2,14:02,1,10,KAN 23,3,14,Trent Green pass complete to Johnnie Morton for -1 yards (tackle by Daryl Smith),0.480,-0.200
2,13:24,2,11,KAN 22,3,14,Trent Green pass complete to Johnnie Morton for 16 yards (tackle by Juran Bolden),-0.200,1.470
2,12:49,1,10,KAN 38,3,14,Priest Holmes up the middle for 9 yards (tackle by Mike Peterson and Juran Bolden),1.470,2.140
2,12:16,2,1,KAN 47,3,14,Priest Holmes up the middle for 4 yards (tackle by Mike Peterson),2.140,2.320
2,11:39,1,10,JAX 49,3,14,Trent Green pass complete to Priest Holmes for no gain,2.320,1.780
2,11:39,2,10,JAX 49,3,14,"Penalty on John Welbourn: False Start, 5 yards (no play)",1.780,1.110
2,10:37,2,15,KAN 46,3,14,Trent Green pass complete to Derrick Blaylock for 2 yards (tackle by Mike Peterson),1.110,0.700
2,9:50,3,13,KAN 48,3,14,Trent Green pass complete to Dante Hall for 7 yards (tackle by Deon Grant),0.700,0.270
2,9:16,4,6,JAX 45,3,14,Stephen Cheek punts 43 yards,0.270,0.380
2,9:06,1,10,JAX 2,3,14,Fred Taylor up the middle for no gain (tackle by Monty Beisel),-0.380,-0.780
2,8:24,2,10,JAX 2,3,14,Byron Leftwich pass complete to Marc Edwards for 3 yards (tackle by Shawn Barber),-0.780,-1.070
2,7:41,3,7,JAX 5,3,14,Byron Leftwich pass complete to Troy Edwards for 14 yards (tackle by Greg Wesley),-1.070,0.150
2,6:57,1,10,JAX 19,3,14,Fred Taylor left tackle for 10 yards (tackle by Scott Fujita),0.150,0.870
2,6:10,1,10,JAX 29,3,14,Byron Leftwich pass complete to Chris Fuamatu-Ma'afala for -1 yards (tackle by Scott Fujita),0.870,0.190
2,5:27,2,11,JAX 28,3,14,Greg Jones up the middle for 10 yards (tackle by Eric Warfield),0.190,0.830
2,4:46,3,1,JAX 38,3,14,"Greg Jones up the middle for 3 yards (tackle by Shawn Barber). Penalty on Jerome Woods: Defensive Offside, 5 yards (no play)",0.830,1.800
2,4:26,1,10,JAX 43,3,14,Fred Taylor left tackle for 1 yard (tackle by Junior Siavii),1.800,1.390
2,3:41,2,9,JAX 44,3,14,Byron Leftwich pass complete to Todd Yoder for 25 yards (tackle by Monty Beisel),1.390,3.510
2,3:07,1,10,KAN 31,3,14,Fred Taylor right tackle for -3 yards (tackle by Junior Siavii),3.510,2.560
2,2:26,2,13,KAN 34,3,14,Byron Leftwich left end for 1 yard (tackle by Jared Allen),2.560,2.020
2,2:00,3,12,KAN 33,3,14,Byron Leftwich pass incomplete intended for Jimmy Smith,2.020,1.150
2,1:55,4,12,KAN 33,3,14,Josh Scobee 51 yard field goal no good,1.150,-1.660
2,1:50,1,10,KAN 41,3,14,Trent Green pass incomplete intended for Johnnie Morton (defended by Greg Favors),1.660,1.120
2,1:43,2,10,KAN 41,3,14,Trent Green pass complete to Priest Holmes for 4 yards (tackle by Mike Peterson),1.120,0.960
2,1:16,3,6,KAN 45,3,14,Trent Green sacked by Greg Favors for -4 yards,0.960,-0.650
2,1:07,,,,3,14,Timeout #1 by Jacksonville Jaguars,0.000,-0.650
2,1:07,4,10,KAN 41,3,14,"Stephen Cheek punts 44 yards, returned by Jermaine Lewis for 17 yards (tackle by Gary Stills)",-0.650,-1.070
2,0:56,1,10,JAX 32,3,14,Fred Taylor up the middle for 6 yards (tackle by Eric Warfield),1.070,1.340
2,0:49,2,4,JAX 38,3,14,Byron Leftwich pass complete to Ernest Wilford for 8 yards (tackle by William Bartee),1.340,1.990
2,0:41,,,,3,14,Timeout #2 by Jacksonville Jaguars,0.000,1.990
2,0:41,1,10,JAX 46,3,14,Byron Leftwich pass incomplete intended for Fred Taylor,1.990,1.450
2,0:37,2,10,JAX 46,3,14,Byron Leftwich sacked by Eric Hicks for -5 yards,1.450,0.100
2,0:13,3,15,JAX 41,3,14,Byron Leftwich pass complete to Cortez Hankton for 2 yards (tackle by Shawn Barber),0.100,-0.520
2,0:13,4,13,JAX 43,3,14,"Penalty on Chris Hanson: Delay of Game, 5 yards (no play)",-0.520,-0.850
2,0:07,4,18,JAX 38,3,14,Chris Hanson punts 56 yards,-0.850,1.470
Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,3,14,"Josh Scobee kicks off 50 yards, returned by Dante Hall for 12 yards (tackle by Deke Cooper)",0.000,1.070
3,14:56,1,10,KAN 32,3,14,Trent Green pass complete to Eddie Kennison for 19 yards (tackle by Deon Grant),1.070,2.320
3,14:23,1,10,JAX 49,3,14,Priest Holmes up the middle for 7 yards (tackle by Greg Favors),2.320,2.730
3,13:52,2,3,JAX 42,3,14,Priest Holmes up the middle for no gain (tackle by Marcus Stroud),2.730,2.020
3,13:17,3,3,JAX 42,3,14,Priest Holmes up the middle for 3 yards (tackle by Marcus Stroud),2.020,2.980
3,12:40,1,10,JAX 39,3,14,Trent Green pass complete to Eddie Kennison for 21 yards (tackle by Akin Ayodele),2.980,4.370
3,12:02,1,10,JAX 18,3,14,Tony Richardson left tackle for 1 yard (tackle by John Henderson and Rob Meier),4.370,3.940
3,11:28,2,9,JAX 17,3,14,"Trent Green sacked by Marcus Stroud for -7 yards. Trent Green fumbles (forced by Marcus Stroud), recovered by Trent Green at JAX-24",3.940,2.340
3,10:55,3,16,JAX 24,9,14,"Trent Green pass complete to Tony Gonzalez for 24 yards, touchdown",2.340,7.000
3,,,,JAX 2,10,14,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,KAN 30,10,14,"Lawrence Tynes kicks off 63 yards, returned by Jermaine Lewis for 11 yards (tackle by Shaunard Harts)",0.000,0.040
3,10:42,1,10,JAX 18,10,14,Fred Taylor up the middle for 2 yards (tackle by Eric Hicks and Scott Fujita),0.040,-0.130
3,10:04,2,8,JAX 20,10,14,Fred Taylor up the middle for 2 yards (tackle by Vonnie Holliday),-0.130,-0.660
3,9:25,3,6,JAX 22,10,14,Byron Leftwich pass complete to Fred Taylor for 4 yards (tackle by Shawn Barber),-0.660,-1.630
3,8:49,4,2,JAX 26,10,14,"Chris Hanson punts 45 yards, returned by Shaunard Harts for no gain",-1.630,-0.870
3,8:37,1,10,KAN 29,10,14,"Trent Green pass complete to Priest Holmes for 10 yards (tackle by Brandon Green). Penalty on Brian Waters: Ineligible Downfield Pass, 5 yards (no play)",0.870,0.540
3,8:09,1,15,KAN 24,10,14,Trent Green pass incomplete intended for Tony Gonzalez,0.540,-0.350
3,8:02,2,15,KAN 24,10,14,Priest Holmes up the middle for 7 yards (tackle by Derrick Ransom),-0.350,-0.100
3,7:26,3,8,KAN 31,10,14,"Trent Green sacked by Mike Peterson for -7 yards. Trent Green fumbles (forced by Mike Peterson), recovered by Tony Richardson at KAN-24",-0.100,-1.770
3,6:49,4,15,KAN 24,10,14,"Stephen Cheek punts 50 yards, returned by Jermaine Lewis for 10 yards (tackle by Quinton Caver)",-1.770,-1.330
3,6:41,1,10,JAX 36,10,14,Byron Leftwich pass complete to Jimmy Smith for 13 yards (tackle by Dexter McCleon),1.330,2.190
3,6:02,1,10,JAX 49,10,14,Fred Taylor up the middle for 7 yards (tackle by Greg Wesley),2.190,2.590
3,5:19,2,3,KAN 44,10,14,Byron Leftwich pass complete to Jimmy Smith for 15 yards (tackle by Dexter McCleon),2.590,3.640
3,4:39,1,10,KAN 29,10,14,"Fred Taylor up the middle for 8 yards (tackle by Eric Warfield). Penalty on Ernest Wilford: Illegal Block Above the Waist, 10 yards (no play)",3.640,2.980
3,4:11,1,20,KAN 39,10,14,Byron Leftwich pass incomplete intended for Ernest Wilford (defended by John Browning),2.980,1.750
3,4:07,2,20,KAN 39,10,14,Byron Leftwich pass incomplete intended for Brian Jones,1.750,1.090
3,4:01,,,,10,14,Timeout #1 by Jacksonville Jaguars,0.000,1.090
3,4:01,3,20,KAN 39,10,14,Byron Leftwich pass incomplete intended for Fred Taylor,1.090,0.660
3,3:57,4,20,KAN 39,10,14,Penalty on Deke Cooper: False Start (Declined),0.660,0.660
3,3:57,4,20,KAN 39,10,14,Chris Hanson punts 31 yards,0.660,0.380
3,3:48,1,10,KAN 8,10,14,Trent Green pass complete to Tony Gonzalez for 12 yards (tackle by Rashean Mathis),-0.380,0.280
3,3:26,1,10,KAN 20,10,14,Priest Holmes left tackle for 3 yards (tackle by John Henderson),0.280,0.140
3,2:55,2,7,KAN 23,10,14,Trent Green sacked by Akin Ayodele for -7 yards,0.140,-1.690
3,2:33,3,14,KAN 16,10,14,Trent Green pass complete to Johnnie Morton for 19 yards (tackle by Deke Cooper),-1.690,1.270
3,1:57,1,10,KAN 35,10,14,Priest Holmes up the middle for 3 yards (tackle by Marcus Stroud),1.270,1.130
3,1:21,2,7,KAN 38,10,14,Priest Holmes right end for 8 yards (tackle by Daryl Smith),1.130,1.990
3,0:44,1,10,KAN 46,10,14,Priest Holmes up the middle for 2 yards (tackle by Akin Ayodele),1.990,1.720
Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,KAN 48,10,14,Trent Green pass complete to Tony Gonzalez for 12 yards,1.720,2.920
4,14:37,1,10,JAX 40,10,14,"Priest Holmes up the middle for 5 yards (tackle by Rashean Mathis). Penalty on John Welbourn: Offensive Holding, 10 yards",2.920,2.590
4,14:16,1,15,JAX 45,10,14,Trent Green pass complete to Johnnie Morton for 7 yards (tackle by Dewayne Washington),2.590,2.640
4,13:41,2,8,JAX 38,10,14,Trent Green pass complete to Johnnie Morton for 3 yards (tackle by Daryl Smith),2.640,2.340
4,13:02,3,5,JAX 35,10,14,Trent Green pass incomplete intended for Tony Gonzalez,2.340,0.980
4,12:56,4,5,JAX 35,10,14,"Stephen Cheek punts 35 yards, touchback",0.980,-0.280
4,12:47,1,10,JAX 20,10,14,Byron Leftwich pass complete to Kyle Brady for 4 yards (tackle by Shawn Barber),0.280,0.270
4,12:12,2,6,JAX 24,10,14,Fred Taylor left tackle for 14 yards (tackle by Jimmy Wilkerson and Scott Fujita),0.270,1.470
4,11:24,1,10,JAX 38,10,14,Byron Leftwich sacked by Lional Dalton for -7 yards,1.470,-0.020
4,10:49,2,17,JAX 31,10,14,Fred Taylor up the middle for 7 yards (tackle by Vonnie Holliday),-0.020,0.230
4,10:10,3,10,JAX 38,10,14,Byron Leftwich sacked by John Browning for -6 yards,0.230,-1.240
4,9:40,4,16,JAX 32,10,14,"Chris Hanson punts 52 yards, returned by Dante Hall for 9 yards (tackle by Todd Yoder)",-1.240,-0.610
4,9:30,1,10,KAN 25,10,14,Trent Green pass complete to Johnnie Morton for 15 yards (tackle by Dewayne Washington),0.610,1.600
4,8:57,1,10,KAN 40,10,14,Priest Holmes up the middle for 2 yards (tackle by Daryl Smith),1.600,1.320
4,8:19,2,8,KAN 42,10,14,Trent Green pass complete to Tony Richardson for 6 yards (tackle by Daryl Smith),1.320,1.420
4,7:38,3,2,KAN 48,10,14,Trent Green pass complete to Tony Gonzalez for 12 yards (tackle by Deon Grant),1.420,2.920
4,7:03,1,10,JAX 40,10,14,Trent Green pass incomplete intended for Chris Horn,2.920,2.370
4,6:56,2,10,JAX 40,10,14,Priest Holmes left tackle for 5 yards (tackle by John Henderson),2.370,2.340
4,6:15,3,5,JAX 35,10,14,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Akin Ayodele),2.340,3.640
4,5:37,1,10,JAX 29,10,14,Derrick Blaylock right end for 1 yard (tackle by Akin Ayodele),3.640,3.240
4,4:59,2,9,JAX 28,16,14,"Trent Green pass complete to Priest Holmes for 28 yards, touchdown",3.240,7.000
,,,,,,,"JAX challenged the ruling, and the play was upheld.",,
4,,,,JAX 2,16,14,Lawrence Tynes kicks extra point no good,0.000,-1.000
4,,,,KAN 30,16,14,"Lawrence Tynes kicks off 62 yards, returned by Jermaine Lewis for 16 yards (tackle by Keyaron Fox)",0.000,0.540
4,4:40,1,10,JAX 24,16,14,Byron Leftwich pass complete to Jimmy Smith for 9 yards (tackle by Scott Fujita),0.540,1.210
4,4:05,2,1,JAX 33,16,14,Byron Leftwich pass incomplete intended for Kyle Brady,1.210,0.500
4,3:56,3,1,JAX 33,16,14,Byron Leftwich pass incomplete intended for Fred Taylor (defended by Vonnie Holliday),0.500,-1.180
4,3:52,,,,16,14,Timeout #3 by Jacksonville Jaguars,0.000,-1.180
4,3:52,4,1,JAX 33,16,14,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Dexter McCleon),-1.180,-3.380
4,3:47,1,10,JAX 33,16,14,Priest Holmes left tackle for 2 yards (tackle by Derrick Ransom). Penalty on Tony Gonzalez: Illegal Motion (Declined),3.380,3.110
4,3:42,2,8,JAX 31,16,14,Priest Holmes up the middle for 2 yards (tackle by Akin Ayodele),3.110,2.680
4,3:42,3,6,JAX 29,16,14,Priest Holmes up the middle for 5 yards (tackle by Donovin Darius),2.680,2.020
4,2:21,4,1,JAX 24,16,14,Lawrence Tynes 42 yard field goal no good,2.020,-1.140
4,2:16,1,10,JAX 33,16,14,Byron Leftwich pass complete to Jimmy Smith for 6 yards (tackle by Dexter McCleon),1.140,1.400
4,2:00,2,4,JAX 39,16,14,Byron Leftwich pass complete to Jimmy Smith for 6 yards (tackle by Dexter McCleon),1.400,1.930
4,1:54,1,10,JAX 45,16,14,Byron Leftwich pass incomplete intended for Fred Taylor,1.930,1.380
4,1:49,2,10,JAX 45,16,14,Byron Leftwich pass complete to Jimmy Smith for 12 yards (tackle by Shawn Barber),1.380,2.720
4,1:25,1,10,KAN 43,16,14,Byron Leftwich pass complete to Fred Taylor for 3 yards (tackle by Shawn Barber),2.720,2.580
4,1:05,2,7,KAN 40,16,14,Byron Leftwich pass complete to Cortez Hankton for 12 yards (tackle by Dexter McCleon). Penalty on Dexter McCleon: Defensive Holding (Declined),2.580,3.710
4,0:58,1,10,KAN 28,16,14,Byron Leftwich pass complete to Ernest Wilford for 14 yards (tackle by Jerome Woods),3.710,4.650
4,0:49,1,10,KAN 14,16,20,"Byron Leftwich pass complete to Cortez Hankton for 14 yards, touchdown",4.650,7.000
4,,,,,16,22,"Two Point Attempt: Byron Leftwich pass complete to Reggie Williams, conversion succeeds",1.000,1.000
4,,,,JAX 30,16,22,"Josh Scobee kicks off 70 yards, returned by Dante Hall for 20 yards (tackle by Tommy Hendricks)",0.000,0.280
4,0:40,1,10,KAN 20,16,22,Trent Green pass complete to Tony Gonzalez for 15 yards (tackle by Deon Grant),0.280,1.270
4,0:31,,,,16,22,Timeout #1 by Kansas City Chiefs,0.000,1.270
4,0:31,1,10,KAN 35,16,22,Trent Green pass incomplete intended for Eddie Kennison,1.270,0.720
4,0:25,2,10,KAN 35,16,22,Trent Green pass incomplete intended for Tony Gonzalez (defended by Greg Favors),0.720,0.040
4,0:18,3,10,KAN 35,16,22,Trent Green pass complete to Eddie Kennison for 21 yards (tackle by Deke Cooper),0.040,2.650
4,0:12,,,,16,22,Timeout #2 by Kansas City Chiefs,0.000,2.650
4,0:12,1,10,JAX 44,16,22,"Trent Green sacked by Akin Ayodele for -9 yards. Trent Green fumbles (forced by Akin Ayodele), recovered by Willie Roaf at KAN-47",2.650,0.900
4,0:05,,,,16,22,Timeout #3 by Kansas City Chiefs,0.000,0.900
4,0:04,2,19,KAN 47,16,22,Trent Green pass incomplete intended for Dante Hall is intercepted by Deke Cooper at JAX-3,0.900,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
