Unnamed: 0,KAN,JAX
First Downs,19,19
Rush-Yds-TDs,21-77-0,23-101-1
Cmp-Att-Yd-TD-INT,23-33-315-2-1,24-36-298-2-0
Sacked-Yards,6-42,4-21
Net Pass Yards,273,277
Total Yards,350,378
Fumbles-Lost,3-0,0-0
Turnovers,1,0
Penalties-Yards,5-30,5-46
Third Down Conv.,6-13,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,30:00,30:00
