Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 56 yards, returned by Woodrow Dantzler for 19 yards (tackle by Marcellus Rivers)",0.000,1.140
1,14:54,1,10,DAL 33,0,0,Emmitt Smith left guard for 5 yards (tackle by Dhani Jones and Shaun Williams),1.140,1.270
1,14:21,2,5,DAL 38,0,0,Emmitt Smith right end for 2 yards (tackle by Micheal Barrow),1.270,0.830
1,13:44,3,3,DAL 40,0,0,Chad Hutchinson pass incomplete intended for Michael Wiley,0.830,-0.720
1,13:36,4,3,DAL 40,0,0,"Filip Filipovic punts 40 yards, returned by Delvin Joyce for 17 yards (tackle by Louis Mackey)",-0.720,-1.400
1,13:24,1,10,NYG 37,0,0,Kerry Collins pass complete to Daryl Jones for 12 yards (tackle by Derek Ross and Tony Dixon),1.400,2.190
1,12:50,1,10,NYG 49,0,0,Kerry Collins pass incomplete intended for Amani Toomer,2.190,1.650
1,12:43,2,10,NYG 49,0,0,Kerry Collins pass complete to Amani Toomer for 14 yards (tackle by Dat Nguyen),1.650,3.120
1,12:07,1,10,DAL 37,0,0,Tiki Barber left guard for 3 yards (tackle by Dexter Coakley),3.120,2.980
1,11:25,2,7,DAL 34,0,0,Kerry Collins pass complete to Amani Toomer for 7 yards (tackle by Mario Edwards),2.980,3.780
1,11:04,1,10,DAL 27,0,0,Kerry Collins pass complete to Tiki Barber for 13 yards (tackle by Roy Williams and Dexter Coakley),3.780,4.650
1,10:30,1,10,DAL 14,0,0,Tiki Barber for 8 yards (tackle by Dexter Coakley),4.650,5.470
1,10:05,2,2,DAL 6,0,0,Tiki Barber right guard for 4 yards (tackle by Greg Ellis and Dexter Coakley),5.470,6.740
1,9:27,1,2,DAL 2,0,0,Tiki Barber middle for 1 yard (tackle by Greg Ellis and Kevin Hardy),6.740,5.910
1,8:44,2,1,DAL 1,0,0,Kerry Collins pass incomplete intended for Amani Toomer,5.910,5.170
1,8:40,3,1,DAL 1,0,6,"Tiki Barber left guard for 1 yard, touchdown",5.170,7.000
1,8:40,,,DAL 1,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,8:40,,,NYG 30,0,7,"Matt Bryant kicks off 58 yards, returned by Woodrow Dantzler for 33 yards (tackle by Ralph Brown)",0.000,1.930
1,8:30,1,10,DAL 45,0,7,Emmitt Smith left tackle for 5 yards (tackle by Micheal Barrow and Shaun Williams),1.930,2.060
1,8:04,2,5,,0,7,Chad Hutchinson middle for 7 yards (tackle by Kenny Holmes),2.060,2.720
1,7:18,1,10,NYG 43,0,7,Emmitt Smith right end for 3 yards (tackle by Micheal Barrow and Michael Strahan),2.720,2.580
1,6:38,2,7,NYG 40,0,7,Chad Hutchinson pass incomplete intended for James Whalen,2.580,1.880
1,6:35,3,7,NYG 40,0,7,Troy Hambrick left end for 4 yards (tackle by Will Peterson and Omar Stoutmire),1.880,0.890
1,5:52,4,3,NYG 36,0,13,"Chad Hutchinson sacked by Micheal Barrow for -8 yards. Chad Hutchinson fumbles (forced by Micheal Barrow), recovered by Kenny Holmes and returned for 50 yards, touchdown",0.890,-7.000
1,5:36,,,DAL 36,0,14,Matt Bryant kicks extra point good,0.000,0.000
1,5:36,,,NYG 30,0,14,"Matt Bryant kicks off 55 yards, returned by Woodrow Dantzler for 30 yards (tackle by Marcellus Rivers)",0.000,1.930
1,5:28,1,10,DAL 45,0,14,Emmitt Smith left end for 9 yards (tackle by Omar Stoutmire),1.930,2.600
1,5:05,2,1,NYG 46,0,14,Emmitt Smith left end for -4 yards (tackle by Brandon Short and Shaun Williams),2.600,1.360
1,4:22,3,5,,0,14,Chad Hutchinson pass incomplete intended for Joey Galloway (defended by Will Allen),1.360,-0.060
1,4:17,4,5,,0,14,"Filip Filipovic punts 50 yards, touchback",-0.060,-0.280
1,4:06,1,10,NYG 20,0,14,Kerry Collins pass complete to Jeremy Shockey for 2 yards (tackle by Kevin Hardy and Brandon Noble),0.280,0.000
1,3:32,2,8,NYG 22,0,14,Kerry Collins pass complete to Amani Toomer for 10 yards (tackle by Mario Edwards),0.000,1.070
1,3:01,1,10,NYG 32,0,14,Tiki Barber left end for 60 yards (tackle by Mario Edwards),1.070,5.370
1,2:14,1,8,DAL 8,0,14,Ron Dayne right guard for 4 yards (tackle by Brandon Noble),5.370,5.340
1,1:38,2,4,DAL 4,0,20,"Ron Dayne left guard for 4 yards, touchdown",5.340,7.000
1,1:38,,,DAL 4,0,21,Matt Bryant kicks extra point good,0.000,0.000
1,1:38,,,NYG 30,0,21,"Matt Bryant kicks off 65 yards, returned by Woodrow Dantzler for 28 yards (tackle by Delvin Joyce). Penalty on James Whalen: Offensive Holding, 10 yards",0.000,0.280
1,1:24,1,10,DAL 20,0,21,Antonio Bryant left end for -8 yards (tackle by Shaun Williams),0.280,-1.360
1,0:43,2,18,DAL 12,0,21,Chad Hutchinson pass complete to James Whalen for 4 yards (tackle by Will Peterson),-1.360,-1.690
1,0:04,3,14,DAL 16,0,21,Chad Hutchinson right end for 3 yards (tackle by Omar Stoutmire),-1.690,-2.140
Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,DAL 19,0,21,"Filip Filipovic punts 46 yards, returned by Delvin Joyce for 5 yards (tackle by Dexter Coakley)",-2.140,-1.600
2,14:49,1,10,NYG 40,0,21,Kerry Collins pass complete to Amani Toomer for 33 yards (tackle by Derek Ross). Penalty on Derek Ross: Defensive Pass Interference (Declined),1.600,3.780
2,14:33,1,10,DAL 27,0,21,Kerry Collins pass complete to Dan Campbell for 6 yards (tackle by Peppi Zellner),3.780,4.040
2,13:59,2,4,DAL 21,0,21,Tiki Barber left guard for 2 yards (tackle by Peppi Zellner and Greg Ellis),4.040,3.640
2,13:20,3,2,DAL 19,0,21,"Kerry Collins for no gain. Kerry Collins fumbles, recovered by Chris Bober at DAL-20",3.640,2.220
2,12:43,4,3,DAL 20,0,24,Matt Bryant 38 yard field goal good,2.220,3.000
2,12:43,,,NYG 30,0,24,"Matt Bryant kicks off 61 yards, returned by Woodrow Dantzler for 18 yards (tackle by Charles Stackhouse). Penalty on Brandon Noble: Offensive Holding, 10 yards",0.000,-0.280
2,12:31,1,10,DAL 14,0,24,Troy Hambrick left guard for 9 yards (tackle by Michael Strahan and Frank Ferrara),-0.280,0.550
2,11:57,2,1,DAL 23,0,24,Troy Hambrick left guard for 7 yards (tackle by Frank Ferrara and Omar Stoutmire),0.550,0.940
2,11:19,1,10,DAL 30,0,24,Chad Hutchinson pass incomplete intended for Joey Galloway,0.940,0.390
2,11:15,2,10,DAL 30,0,24,Troy Hambrick left end for -2 yards (tackle by Micheal Barrow and Dhani Jones). Penalty on Andre Gurode: Offensive Holding (Declined),0.390,-0.560
