Unnamed: 0,DAL,NYG
First Downs,14,20
Rush-Yds-TDs,27-104-0,33-157-3
Cmp-Att-Yd-TD-INT,16-40-161-1-2,16-31-220-0-0
Sacked-Yards,3-24,0-0
Net Pass Yards,137,220
Total Yards,241,377
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,7-55,6-57
Third Down Conv.,2-15,2-11
Fourth Down Conv.,0-3,0-0
Time of Possession,28:42,31:18
