Unnamed: 0,NWE,NOR
First Downs,29,20
Rush-Yds-TDs,31-119-1,17-81-0
Cmp-Att-Yd-TD-INT,30-39-447-3-0,27-45-356-2-0
Sacked-Yards,2-11,1-8
Net Pass Yards,436,348
Total Yards,555,429
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,9-66,5-35
Third Down Conv.,6-12,4-12
Fourth Down Conv.,0-0,1-2
Time of Possession,35:06,24:54
