Quarter,Time,Tm,Detail,NWE,NOR
1.0,10:31,Patriots,Rex Burkhead 19 yard pass from Tom Brady (Stephen Gostkowski kick failed),6,0
,7:38,Saints,Wil Lutz 46 yard field goal,6,3
,5:29,Patriots,Rob Gronkowski 53 yard pass from Tom Brady (Stephen Gostkowski kick),13,3
,0:16,Patriots,Chris Hogan 13 yard pass from Tom Brady (Stephen Gostkowski kick),20,3
2.0,11:52,Saints,Brandon Coleman 5 yard pass from Drew Brees (Wil Lutz kick),20,10
,8:18,Saints,Wil Lutz 35 yard field goal,20,13
,4:47,Patriots,Mike Gillislee 2 yard rush (Stephen Gostkowski kick),27,13
,0:00,Patriots,Stephen Gostkowski 28 yard field goal,30,13
3.0,0:40,Patriots,Stephen Gostkowski 24 yard field goal,33,13
4.0,8:49,Patriots,Stephen Gostkowski 27 yard field goal,36,13
,5:04,Saints,Coby Fleener 4 yard pass from Drew Brees (Wil Lutz kick),36,20
