Unnamed: 0,ATL,TAM
First Downs,19,23
Rush-Yds-TDs,28-110-1,23-92-0
Cmp-Att-Yd-TD-INT,20-31-219-1-0,27-43-301-2-2
Sacked-Yards,1-7,4-20
Net Pass Yards,212,281
Total Yards,322,373
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,5-30,10-79
Third Down Conv.,6-12,12-17
Fourth Down Conv.,0-0,0-1
Time of Possession,29:48,30:12
