Quarter,Time,Tm,Detail,ATL,TAM
1.0,6:24,Buccaneers,Patrick Murray 51 yard field goal,0,3
,0:51,Falcons,Steven Jackson 1 yard rush (Matt Bryant kick),7,3
2.0,7:09,Falcons,Matt Bryant 37 yard field goal,10,3
,0:46,Buccaneers,Mike Evans 22 yard pass from Josh McCown (Patrick Murray kick),10,10
,0:00,Falcons,Matt Bryant 43 yard field goal,13,10
3.0,10:23,Falcons,Matt Bryant 44 yard field goal,16,10
4.0,14:18,Buccaneers,Austin Seferian-Jenkins 1 yard pass from Josh McCown (Patrick Murray kick),16,17
,9:18,Falcons,Roddy White 5 yard pass from Matt Ryan (Harry Douglas pass from Matt Ryan),24,17
,4:10,Falcons,Matt Bryant 33 yard field goal,27,17
