Unnamed: 0,KAN,TAM
First Downs,22,26
Rush-Yds-TDs,17-107-0,33-145-1
Cmp-Att-Yd-TD-INT,26-49-270-0-2,21-29-201-3-0
Sacked-Yards,3-27,1-6
Net Pass Yards,243,195
Total Yards,350,340
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,11-120,4-39
Third Down Conv.,3-13,4-12
Fourth Down Conv.,1-3,0-1
Time of Possession,28:37,31:23
