Quarter,Time,Tm,Detail,KAN,TAM
1.0,5:10,Chiefs,Harrison Butker 49 yard field goal,3,0
,0:37,Buccaneers,Rob Gronkowski 8 yard pass from Tom Brady (Ryan Succop kick),3,7
2.0,6:05,Buccaneers,Rob Gronkowski 17 yard pass from Tom Brady (Ryan Succop kick),3,14
,1:01,Chiefs,Harrison Butker 34 yard field goal,6,14
,0:06,Buccaneers,Antonio Brown 1 yard pass from Tom Brady (Ryan Succop kick),6,21
3.0,11:26,Chiefs,Harrison Butker 52 yard field goal,9,21
,7:45,Buccaneers,Leonard Fournette 27 yard rush (Ryan Succop kick),9,28
,2:46,Buccaneers,Ryan Succop 52 yard field goal,9,31
