Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 68 yards, returned by Jaydon Mickens for 26 yards (tackle by Dorian O'Daniel)",0.000,0.480
1,14:56,1,10,TAM 23,0,0,Tom Brady pass complete short left to Chris Godwin for 1 yard (tackle by Bashaud Breeland),0.480,0.070
1,14:23,2,9,TAM 24,0,0,Leonard Fournette right tackle for 3 yards (tackle by Chris Jones),0.070,-0.230
1,13:48,3,6,TAM 27,0,0,Tom Brady pass incomplete short left intended for Chris Godwin,-0.230,-1.570
1,13:43,4,6,TAM 27,0,0,Bradley Pinion punts 40 yards downed by Kevin Minter,-1.570,-1.140
1,13:33,1,10,KAN 33,0,0,Patrick Mahomes pass complete short right to Byron Pringle for 3 yards (tackle by Sean Murphy-Bunting and Carlton Davis),1.140,1.000
1,12:52,2,7,KAN 36,0,0,Patrick Mahomes pass incomplete short middle,1.000,0.300
1,12:48,3,7,KAN 36,0,0,Patrick Mahomes left end for 11 yards (tackle by Antoine Winfield),0.300,2.060
1,12:11,1,10,KAN 47,0,0,Patrick Mahomes left end for 2 yards (tackle by Jason Pierre-Paul),2.060,1.790
1,11:38,2,8,KAN 49,0,0,Patrick Mahomes pass incomplete deep left intended for Mecole Hardman,1.790,1.090
1,11:34,3,8,KAN 49,0,0,Patrick Mahomes pass incomplete deep right intended for Mecole Hardman,1.090,-0.130
1,11:29,4,8,KAN 49,0,0,"Tommy Townsend punts 51 yards, touchback.",-0.130,-0.280
1,11:21,1,10,TAM 20,0,0,Ronald Jones right tackle for 13 yards (tackle by Tyrann Mathieu),0.280,1.140
1,10:41,1,10,TAM 33,0,0,Scott Miller left end for -3 yards (tackle by Frank Clark),1.140,0.190
1,10:03,2,13,TAM 30,0,0,Tom Brady pass complete short left to Cameron Brate for 5 yards (tackle by Damien Wilson),0.190,0.170
1,9:22,3,8,TAM 35,0,0,Tom Brady sacked by Frank Clark for -6 yards,0.170,-1.440
1,8:41,4,14,TAM 29,0,0,Bradley Pinion punts 33 yards out of bounds,-1.440,-1.470
1,8:33,1,10,KAN 38,0,0,Tyreek Hill left end for 5 yards (tackle by Jamel Dean),1.470,1.600
1,8:03,2,5,KAN 43,0,0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Devin White),1.600,2.130
1,7:21,1,10,KAN 48,0,0,Patrick Mahomes left end for 11 yards (tackle by Lavonte David),2.130,2.850
1,6:51,1,10,TAM 41,0,0,Clyde Edwards-Helaire up the middle for 6 yards (tackle by Jordan Whitehead),2.850,3.120
1,6:13,2,4,TAM 35,0,0,"Patrick Mahomes pass incomplete deep middle intended for Byron Pringle (defended by Sean Murphy-Bunting). Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (no play)",3.120,3.580
1,6:06,1,10,TAM 30,0,0,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,3.580,3.030
1,6:03,2,10,TAM 30,0,0,Clyde Edwards-Helaire left end for -1 yards (tackle by Devin White),3.030,2.210
1,5:22,3,11,TAM 31,0,0,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,2.210,1.320
1,5:14,4,11,TAM 31,3,0,Harrison Butker 49 yard field goal good,1.320,3.000
