Quarter,Time,Down,ToGo,Location,CAR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 67 yards, returned by Damiere Byrd for no gain (tackle by Nick Bellore). Penalty on Jermaine Carter: Offensive Holding, 10 yards",0.000,-0.380
1,14:55,1,10,CAR 10,0,0,Christian McCaffrey left end for 4 yards (tackle by Darius Slay),-0.380,-0.460
1,14:19,2,6,CAR 14,0,0,Cameron Artis-Payne up the middle for 1 yard (tackle by Jarrad Davis),-0.460,-0.840
1,13:33,3,5,CAR 15,0,0,Cam Newton pass complete short right to Jarius Wright for 14 yards (tackle by Nevin Lawson),-0.840,0.870
1,12:59,1,10,CAR 29,0,0,Cam Newton pass complete short middle to D.J. Moore for 13 yards (tackle by Mike Ford),0.870,1.730
1,12:23,1,10,CAR 42,0,0,Cam Newton pass complete deep middle to Devin Funchess for 23 yards (tackle by Glover Quin),1.730,3.250
1,11:45,1,10,DET 35,0,0,Cam Newton right end for 2 yards (tackle by Christian Jones),3.250,2.970
1,11:05,2,8,DET 33,0,0,Cam Newton pass complete short middle to D.J. Moore for 29 yards (tackle by Quandre Diggs),2.970,6.280
1,10:18,1,4,DET 4,0,0,Cam Newton pass incomplete short left intended for Devin Funchess,6.280,5.340
1,10:14,2,4,DET 4,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Damon Harrison),5.340,5.170
1,9:31,3,1,DET 1,6,0,"Cam Newton pass complete short left to Greg Olsen for 1 yard, touchdown",5.170,7.000
1,9:27,,,DET 15,7,0,Graham Gano kicks extra point good,0.000,0.000
1,9:27,,,CAR 35,7,0,"Graham Gano kicks off 57 yards, returned by Luke Willson for no gain (tackle by Rashaan Gaulden)",0.000,0.810
1,9:20,1,10,DET 28,7,0,Matthew Stafford pass complete short left to Kenny Golladay for 9 yards (tackle by James Bradberry),0.810,1.480
1,8:47,2,1,DET 37,7,0,Kerryon Johnson left end for 2 yards (tackle by Julius Peppers and Shaq Thompson),1.480,1.530
1,8:25,1,10,DET 39,7,0,Matthew Stafford pass complete short right to Kerryon Johnson for 3 yards (tackle by Luke Kuechly),1.530,1.390
1,7:58,2,7,DET 42,7,0,Kerryon Johnson left tackle for 8 yards (tackle by Luke Kuechly and Mike Adams),1.390,2.260
1,7:13,1,10,DET 50,7,0,Matthew Stafford pass complete short left to T.J. Jones for 2 yards (tackle by Eric Reid),2.260,1.980
1,6:35,2,8,CAR 48,7,0,Kerryon Johnson up the middle for 11 yards (tackle by Luke Kuechly and Mike Adams),1.980,3.120
1,5:57,1,10,CAR 37,7,0,Matthew Stafford pass complete short left to Bruce Ellington for no gain (tackle by Luke Kuechly),3.120,2.570
1,5:15,2,10,CAR 37,7,0,LeGarrette Blount left end for 3 yards (tackle by Thomas Davis),2.570,2.280
1,4:31,3,7,CAR 34,7,0,Matthew Stafford pass complete short left to Kenny Golladay for 13 yards (tackle by Mike Adams),2.280,4.170
1,3:54,1,10,CAR 21,7,0,Kerryon Johnson left tackle for 1 yard (tackle by Mike Adams),4.170,3.760
1,3:17,2,9,CAR 20,7,0,Kerryon Johnson right end for 12 yards (tackle by Eric Reid),3.760,5.370
1,2:42,1,8,CAR 8,7,6,"Kerryon Johnson left end for 8 yards, touchdown",5.370,7.000
1,2:36,,,CAR 15,7,7,Matt Prater kicks extra point good,0.000,0.000
1,2:36,,,DET 35,7,7,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
1,2:36,1,10,CAR 25,7,7,Christian McCaffrey up the middle for 5 yards (tackle by Devon Kennard),0.610,0.740
1,2:01,2,5,CAR 30,7,7,Cam Newton up the middle for no gain (tackle by Da'Shawn Hand),0.740,0.040
1,1:20,3,5,CAR 30,7,7,Cam Newton sacked by Devon Kennard for -5 yards,0.040,-1.700
1,0:33,4,10,CAR 25,7,7,"Michael Palardy punts 45 yards, fair catch by Bruce Ellington at DET-30",-1.700,-0.940
1,0:25,1,10,DET 30,7,7,Matthew Stafford pass incomplete short right,0.940,0.390
1,0:21,2,10,DET 30,7,7,Matthew Stafford pass complete short middle to Bruce Ellington for 10 yards (tackle by Shaq Thompson),0.390,1.600
Quarter,Time,Down,ToGo,Location,CAR,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 40,7,7,Kerryon Johnson right end for -1 yards (tackle by Thomas Davis and Mario Addison),1.600,0.920
2,14:28,2,11,DET 39,7,7,Matthew Stafford pass complete short right to Theo Riddick for -3 yards (tackle by Luke Kuechly),0.920,-0.160
2,13:46,3,14,DET 36,7,7,Matthew Stafford pass complete short left to Kenny Golladay for 7 yards (tackle by Thomas Davis),-0.160,-0.520
2,13:00,4,7,DET 43,7,7,Sam Martin punts 55 yards downed by Tavon Wilson,-0.520,0.380
2,12:46,1,10,CAR 2,7,7,Christian McCaffrey left tackle for 2 yards (tackle by Damon Harrison),-0.380,-0.630
2,12:06,2,8,CAR 4,7,7,Cam Newton pass complete short right to D.J. Moore for 10 yards (tackle by Jarrad Davis),-0.630,-0.280
2,11:26,1,10,CAR 14,7,7,Cam Newton pass complete short middle to Jarius Wright for 5 yards (tackle by Jarrad Davis),-0.280,-0.040
2,10:45,2,5,CAR 19,7,7,Cam Newton pass complete short left to Christian McCaffrey for 3 yards (tackle by Ricky Jean-Francois),-0.040,-0.440
2,10:00,3,2,CAR 22,7,7,Cam Newton pass incomplete deep left intended for Devin Funchess (defended by Darius Slay),-0.440,-1.900
2,9:53,4,2,CAR 22,7,7,"Michael Palardy punts 47 yards, fair catch by Bruce Ellington at DET-31",-1.900,-1.000
2,9:44,1,10,DET 31,7,7,Matthew Stafford pass complete short left to Theo Riddick for 2 yards (tackle by Shaq Thompson),1.000,0.730
2,9:14,2,8,DET 33,7,7,LeGarrette Blount right tackle for -2 yards (tackle by Bryan Cox and Luke Kuechly),0.730,-0.230
