Unnamed: 0,CAR,DET
First Downs,20,20
Rush-Yds-TDs,16-56-0,26-94-1
Cmp-Att-Yd-TD-INT,25-38-357-3-1,23-37-220-1-0
Sacked-Yards,3-26,1-5
Net Pass Yards,331,215
Total Yards,387,309
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,2-15,1-5
Third Down Conv.,5-11,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:20,31:40
