Unnamed: 0,CIN,HOU
First Downs,16,23
Rush-Yds-TDs,22-105-0,31-109-1
Cmp-Att-Yd-TD-INT,20-32-155-0-2,24-28-280-3-0
Sacked-Yards,2-7,1-5
Net Pass Yards,148,275
Total Yards,253,384
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,7-51,7-55
Third Down Conv.,8-14,10-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:49,35:11
