Quarter,Time,Tm,Detail,JAX,TEN
1.0,5:51,Jaguars,Rashad Jennings 11 yard rush (Josh Scobee kick),7,0
2.0,5:38,Jaguars,David Garrard 4 yard rush (Josh Scobee kick),14,0
,0:00,Jaguars,Josh Scobee 26 yard field goal,17,0
3.0,5:58,Titans,Rob Bironas 37 yard field goal,17,3
4.0,12:05,Titans,Rob Bironas 30 yard field goal,17,6
