Unnamed: 0,JAX,TEN
First Downs,23,11
Rush-Yds-TDs,53-258-2,14-57-0
Cmp-Att-Yd-TD-INT,14-19-126-0-0,14-32-169-0-2
Sacked-Yards,1-7,1-6
Net Pass Yards,119,163
Total Yards,377,220
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,4-31,4-30
Third Down Conv.,6-15,2-11
Fourth Down Conv.,2-3,1-3
Time of Possession,39:54,20:06
