Quarter,Time,Tm,Detail,SDG,STL
1.0,9:31,Rams,Josh Brown 39 yard field goal,0,3
,0:43,Rams,Danario Alexander 38 yard pass from Sam Bradford (Josh Brown kick),0,10
2.0,1:39,Rams,Steven Jackson 7 yard rush (Josh Brown kick),0,17
,0:23,Chargers,Nate Kaeding 41 yard field goal,3,17
3.0,4:41,Chargers,Mike Tolbert 1 yard rush (Nate Kaeding kick),10,17
4.0,3:56,Rams,Josh Brown 48 yard field goal,10,20
,3:16,Chargers,Craig Davis 5 yard pass from Philip Rivers (Nate Kaeding kick),17,20
