Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Josh Brown kicks off 64 yards, returned by Darren Sproles for 18 yards",0.000,0.540
1,14:55,1,10,SDG 24,0,0,Ryan Mathews right guard for 4 yards (tackle by James Laurinaitis),0.540,0.540
1,14:22,2,6,SDG 28,0,0,Ryan Mathews left end for 7 yards (tackle by O.J. Atogwe),0.540,1.270
1,13:40,1,10,SDG 35,0,0,Ryan Mathews right guard for -2 yards (tackle by Gary Gibson),1.270,0.450
1,13:04,2,12,SDG 33,0,0,Philip Rivers sacked by Chris Long for -4 yards,0.450,-0.760
1,12:31,3,16,SDG 29,0,0,Philip Rivers pass incomplete deep right intended for Craig Davis,-0.760,-1.440
1,12:25,4,16,SDG 29,0,0,"Mike Scifres punts 64 yards, returned by Danny Amendola for 42 yards (tackle by Randy McMichael)",-1.440,-2.190
1,12:10,1,10,STL 49,0,0,Sam Bradford pass complete short left to Brandon Gibson for 11 yards (tackle by Eric Weddle),2.190,2.920
1,11:46,1,10,SDG 40,0,0,Steven Jackson right tackle for 6 yards (tackle by Antwan Applewhite),2.920,3.180
1,11:11,2,4,SDG 34,0,0,Sam Bradford pass incomplete short left intended for Daniel Fells,3.180,2.480
1,11:05,3,4,SDG 34,0,0,Sam Bradford pass complete short left to Daniel Fells for 8 yards (tackle by Eric Weddle),2.480,3.840
1,10:33,1,10,SDG 26,0,0,Sam Bradford pass incomplete short right intended for Brandon Gibson,3.840,3.300
1,10:27,2,10,SDG 26,0,0,"Penalty on Jason Smith: False Start, 5 yards (no play)",3.300,2.620
1,10:27,2,15,SDG 31,0,0,"Sam Bradford pass incomplete short left intended for Danny Amendola. Penalty on Donald Strickland: Defensive Offside, 5 yards (no play)",2.620,3.300
1,10:24,2,10,SDG 26,0,0,"Penalty on Cam Thomas: Encroachment, 5 yards (no play)",3.300,3.970
1,10:24,2,5,SDG 21,0,0,"Penalty on Mike Karney: False Start, 5 yards (no play)",3.970,3.300
1,10:24,2,10,SDG 26,0,0,Sam Bradford pass complete short left to Danario Alexander for 5 yards (tackle by Eric Weddle),3.300,3.270
1,9:40,3,5,SDG 21,0,0,Sam Bradford pass incomplete deep right intended for Mardy Gilyard,3.270,2.110
1,9:36,4,5,SDG 21,0,3,Josh Brown 39 yard field goal good,2.110,3.000
1,,,,STL 30,0,3,"Josh Brown kicks off 67 yards, returned by Darren Sproles for 31 yards (tackle by Bradley Fletcher)",0.000,1.200
1,9:24,1,10,SDG 34,0,3,Philip Rivers pass complete short right to Jacob Hester for 6 yards (tackle by James Laurinaitis),1.200,1.470
1,9:05,2,4,SDG 40,0,3,Ryan Mathews left end for 1 yard (tackle by Larry Grant),1.470,0.890
1,8:21,,,,0,3,Timeout #1 by San Diego Chargers,0.000,0.890
1,8:21,3,3,SDG 41,0,3,Philip Rivers pass incomplete short right intended for Craig Davis,0.890,-0.650
1,8:17,4,3,SDG 41,0,3,"Mike Scifres punts 59 yards, touchback",-0.650,-0.280
1,8:05,1,10,STL 20,0,3,Steven Jackson left tackle for no gain (tackle by Jacques Cesaire),0.280,-0.270
1,7:36,2,10,STL 20,0,3,Sam Bradford pass complete short right to Billy Bajema for 7 yards (tackle by Paul Oliver),-0.270,-0.030
1,6:50,,,,0,3,Timeout #1 by Los Angeles Rams,0.000,-0.030
1,6:50,3,3,STL 27,0,3,Sam Bradford pass incomplete short left intended for Danny Amendola (defended by Stephen Cooper),-0.030,-1.570
1,6:46,4,3,STL 27,0,3,Donnie Jones punts 38 yards,-1.570,-1.270
1,6:35,1,10,SDG 35,0,3,Philip Rivers pass incomplete deep right intended for Malcom Floyd,1.270,0.720
1,6:28,2,10,SDG 35,0,3,Ryan Mathews right end for 19 yards (tackle by Bradley Fletcher),0.720,2.520
1,5:45,1,10,STL 46,0,3,Mike Tolbert left guard for 1 yard (tackle by James Laurinaitis and Fred Robbins),2.520,2.110
1,5:04,2,9,STL 45,0,3,Philip Rivers pass complete short right to Antonio Gates for 9 yards (tackle by Bradley Fletcher and Ronald Bartell),2.110,3.180
1,4:26,1,10,STL 36,0,3,Philip Rivers pass complete short middle to Malcom Floyd for 12 yards (tackle by James Laurinaitis),3.180,3.970
1,3:55,1,10,STL 24,0,3,Philip Rivers sacked by Larry Grant for -10 yards,3.970,2.080
1,3:24,2,20,STL 34,0,3,Philip Rivers pass incomplete deep left intended for Malcom Floyd is intercepted by O.J. Atogwe at STL-0,2.080,-0.280
1,3:14,1,10,STL 20,0,3,Steven Jackson left end for 5 yards (tackle by Eric Weddle),0.280,0.410
1,2:38,2,5,STL 25,0,3,Sam Bradford pass complete short left to Brandon Gibson for 12 yards (tackle by Antoine Cason),0.410,1.400
1,1:59,1,10,STL 37,0,3,"Penalty on Kevin Burnett: Neutral Zone Infraction, 5 yards (no play)",1.400,2.130
1,1:42,1,5,STL 42,0,3,Sam Bradford pass complete short left to Danario Alexander for 16 yards (tackle by Antoine Cason),2.130,2.790
1,1:15,1,10,SDG 42,0,3,Sam Bradford pass complete short right to Danny Amendola for 4 yards (tackle by Donald Strickland),2.790,2.780
1,0:50,2,6,SDG 38,0,9,"Sam Bradford pass complete deep left to Danario Alexander for 38 yards, touchdown",2.780,7.000
1,,,,SDG 2,0,10,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 30,0,10,"Josh Brown kicks off 73 yards, returned by Darren Sproles for 24 yards (tackle by Jerome Murphy)",0.000,0.340
1,0:38,1,10,SDG 21,0,10,Philip Rivers sacked by Larry Grant for -6 yards,0.340,-1.140
Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,16,SDG 15,0,10,Philip Rivers pass complete short left to Darren Sproles for 9 yards (tackle by Craig Dahl),-1.140,-0.490
2,14:35,3,7,SDG 24,0,10,Philip Rivers sacked by Chris Long for -12 yards,-0.490,-2.490
2,14:06,4,19,SDG 12,0,10,"Mike Scifres punts 63 yards, returned by Danny Amendola for 13 yards (tackle by Jacob Hester)",-2.490,-1.470
2,13:54,1,10,STL 38,0,10,Sam Bradford pass complete short left to Danario Alexander for 13 yards (tackle by Antonio Garay),1.470,2.320
2,13:21,1,10,SDG 49,0,10,Steven Jackson middle for 5 yards (tackle by Stephen Cooper and Travis Johnson),2.320,2.460
2,12:42,2,5,SDG 44,0,10,Steven Jackson middle for 4 yards (tackle by Shaun Phillips),2.460,2.280
2,12:08,3,1,SDG 40,0,10,Steven Jackson right guard for 2 yards (tackle by Paul Oliver and Antonio Garay),2.280,3.050
2,11:29,1,10,SDG 38,0,10,Sam Bradford pass incomplete short right intended for Brandon Gibson (defended by Eric Weddle),3.050,2.510
2,11:23,2,10,SDG 38,0,10,Sam Bradford pass incomplete short right intended for Steven Jackson (defended by Kevin Burnett),2.510,1.820
2,11:17,3,10,SDG 38,0,10,"Sam Bradford pass incomplete short left intended for Kenneth Darby. Sam Bradford fumbles, recovered by Sam Bradford at STL-SL. Penalty on Michael Hoomanawanui: Illegal Motion (Declined)",1.820,0.720
2,11:13,4,10,SDG 38,0,10,"Donnie Jones punts 38 yards, touchback",0.720,-0.280
2,11:05,1,10,SDG 20,0,10,Ryan Mathews right tackle for 2 yards (tackle by Na'il Diggs),0.280,0.000
2,10:28,2,8,SDG 22,0,10,Philip Rivers pass complete short left to Antonio Gates for 3 yards (tackle by James Butler),0.000,-0.300
2,9:54,3,5,SDG 25,0,10,Philip Rivers pass incomplete short middle intended for Antonio Gates,-0.300,-1.700
2,9:49,4,5,SDG 25,0,10,"Mike Scifres punts 54 yards, returned by Danny Amendola for 12 yards (tackle by Mike Tolbert)",-1.700,-1.140
2,9:37,1,10,STL 33,0,10,Steven Jackson middle for 13 yards (tackle by Eric Weddle),1.140,1.990
2,9:00,1,10,STL 46,0,10,Sam Bradford pass incomplete short right intended for Danny Amendola,1.990,1.450
2,8:55,2,10,STL 46,0,10,Steven Jackson right guard for -2 yards (tackle by Antwan Barnes and Shaun Phillips),1.450,0.500
2,8:19,3,12,STL 44,0,10,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",0.500,-0.160
