Quarter,Time,Tm,Detail,JAX,NYJ
1.0,11:56,Jaguars,Maurice Jones-Drew 33 yard rush (Josh Scobee kick),7,0
,8:21,Jets,Jay Feely 32 yard field goal,7,3
,1:08,Jets,Jerricho Cotchery 7 yard pass from Mark Sanchez (Jay Feely kick),7,10
2.0,10:52,Jaguars,David Garrard 11 yard rush (Josh Scobee kick),14,10
,2:44,Jaguars,Mike Sims-Walker 26 yard pass from David Garrard (Josh Scobee kick),21,10
,0:36,Jets,Jay Feely 37 yard field goal,21,13
4.0,14:39,Jets,Jay Feely 40 yard field goal,21,16
,5:04,Jets,Thomas Jones 1 yard rush (pass failed),21,22
,0:00,Jaguars,Josh Scobee 21 yard field goal,24,22
