Unnamed: 0,JAX,NYJ
First Downs,18,19
Rush-Yds-TDs,32-139-2,29-110-1
Cmp-Att-Yd-TD-INT,16-26-221-1-0,16-31-212-1-2
Sacked-Yards,2-13,0-0
Net Pass Yards,208,212
Total Yards,347,322
Fumbles-Lost,2-1,1-1
Turnovers,1,3
Penalties-Yards,5-40,4-26
Third Down Conv.,7-13,7-13
Fourth Down Conv.,1-1,1-1
Time of Possession,31:07,28:53
