Quarter,Time,Down,ToGo,Location,CIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Joe Mixon left end for 11 yards (tackle by Darius Slay),0.610,1.330
1,14:36,1,10,CIN 36,0,0,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Nathan Gerry),1.330,1.870
1,13:54,2,2,CIN 44,0,0,Joe Mixon right guard for 2 yards (tackle by Avonte Maddox),1.870,1.990
1,13:11,1,10,CIN 46,0,0,Joe Mixon right tackle for 5 yards (tackle by Josh Sweat and Cre'von LeBlanc),1.990,2.130
1,12:35,2,5,PHI 49,0,0,Joe Burrow pass complete short left to Mike Thomas for 2 yards (tackle by Rodney McLeod and T.J. Edwards),2.130,1.690
1,11:53,3,3,PHI 47,0,0,Joe Burrow sacked by Josh Sweat for -7 yards,1.690,-0.320
1,11:13,4,10,CIN 46,0,0,"Kevin Huber punts 38 yards, fair catch by Greg Ward at PHI-16",-0.320,0.140
1,11:05,1,10,PHI 16,0,0,Carson Wentz pass incomplete deep right intended for DeSean Jackson,-0.140,-0.660
1,10:58,2,10,PHI 16,0,0,Miles Sanders up the middle for 11 yards (tackle by Vonn Bell and Akeem Davis-Gaither),-0.660,0.740
1,10:20,1,10,PHI 27,0,0,Miles Sanders right end for 14 yards (tackle by Carlos Dunlap),0.740,1.660
1,9:47,1,10,PHI 41,0,0,Carson Wentz pass complete short left to Zach Ertz for 7 yards (tackle by Mackensie Alexander),1.660,2.070
1,9:07,2,3,PHI 48,0,0,Boston Scott right end for no gain (tackle by Carlos Dunlap),2.070,1.360
1,8:35,3,3,PHI 48,0,0,Carson Wentz pass short middle (defended by D.J. Reader) intended for DeSean Jackson is intercepted by Logan Wilson at CIN-44 and returned for no gain,1.360,-1.860
1,8:30,1,10,CIN 44,0,0,Joe Burrow pass incomplete deep left intended for Tyler Boyd,1.860,1.320
1,8:24,2,10,CIN 44,0,0,Joe Mixon right end for 3 yards (tackle by Darius Slay),1.320,1.030
1,7:43,3,7,CIN 47,0,0,Joe Burrow pass complete short right to A.J. Green for 5 yards (tackle by Cre'von LeBlanc),1.030,0.070
1,7:03,,,,,,Timeout #1 by Philadelphia Eagles,,
1,7:03,4,2,PHI 48,0,0,Kevin Huber punts 39 yards downed by Alex Erickson,0.070,0.380
1,6:56,1,10,PHI 9,0,0,Miles Sanders up the middle for 1 yard (tackle by Carl Lawson),-0.380,-0.710
1,6:24,2,9,PHI 10,0,0,Carson Wentz pass complete short right to DeSean Jackson for 9 yards (tackle by William Jackson),-0.710,0.150
1,6:09,1,10,PHI 19,0,0,Carson Wentz pass complete short middle to Dallas Goedert for 7 yards (tackle by Germaine Pratt and Josh Bynes),0.150,0.610
1,5:33,2,3,PHI 26,0,0,Carson Wentz pass incomplete deep right intended for Zach Ertz,0.610,-0.160
1,5:23,3,3,PHI 26,0,0,Carson Wentz pass complete short middle to Greg Ward for 12 yards (tackle by Mackensie Alexander),-0.160,1.470
1,4:58,1,10,PHI 38,0,0,Carson Wentz right tackle for 4 yards (tackle by Carlos Dunlap),1.470,1.460
1,4:21,2,6,PHI 42,0,0,Miles Sanders right tackle for 9 yards (tackle by Vonn Bell and Jessie Bates),1.460,2.320
1,3:54,1,10,CIN 49,0,0,Carson Wentz pass complete short left to DeSean Jackson for 2 yards (tackle by Mackensie Alexander),2.320,2.050
1,3:21,2,8,CIN 47,0,0,"Carson Wentz left end for 12 yards (tackle by Josh Bynes). Penalty on Josh Bynes: Unnecessary Roughness, 15 yards",2.050,4.240
1,2:53,1,10,CIN 20,0,0,Miles Sanders up the middle for 3 yards (tackle by Logan Wilson),4.240,4.120
1,2:19,2,7,CIN 17,0,0,Carson Wentz pass complete short right to Greg Ward for 6 yards (tackle by LeShaun Sims),4.120,4.590
1,2:16,3,1,CIN 11,0,0,Carson Wentz up the middle for 2 yards (tackle by Vonn Bell and Khalid Kareem),4.590,5.140
1,1:37,1,9,CIN 9,0,0,Carson Wentz right tackle for 3 yards (tackle by Sam Hubbard),5.140,4.950
1,0:59,2,6,CIN 6,0,0,Miles Sanders right end for 3 yards (tackle by Carlos Dunlap),4.950,4.720
1,0:21,3,3,CIN 3,0,0,Carson Wentz sacked by Sam Hubbard for -6 yards,4.720,2.830
Quarter,Time,Down,ToGo,Location,CIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,9,CIN 9,0,3,Jake Elliott 27 yard field goal good,2.830,3.000
2,14:57,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,14:57,1,10,CIN 25,0,3,Joe Mixon left end for 2 yards (tackle by Cre'von LeBlanc and Nathan Gerry),0.610,0.330
2,14:21,2,8,CIN 27,0,3,Joe Mixon up the middle for 1 yard (tackle by Nathan Gerry and T.J. Edwards),0.330,-0.230
2,13:45,3,7,CIN 28,0,3,"Penalty on Fred Johnson: False Start, 5 yards (no play)",-0.230,-0.890
2,13:35,3,12,CIN 23,0,3,Joe Burrow pass incomplete short right,-0.890,-1.830
2,13:29,4,12,CIN 23,0,3,"Kevin Huber punts 45 yards, fair catch by DeSean Jackson at PHI-32",-1.830,-1.070
2,13:22,1,10,PHI 32,0,3,Carson Wentz pass incomplete short right,1.070,0.530
2,13:19,2,10,PHI 32,0,3,Carson Wentz pass complete short middle to Miles Sanders for 3 yards (tackle by Germaine Pratt),0.530,0.230
2,12:34,3,7,PHI 35,0,3,Carson Wentz sacked by Carl Lawson for -7 yards,0.230,-1.500
2,11:56,4,14,PHI 28,0,3,"Cameron Johnston punts 45 yards, returned by Alex Erickson for 2 yards (tackle by Duke Riley)",-1.500,-0.870
2,11:46,1,10,CIN 29,0,3,Joe Burrow pass complete short right to Tyler Boyd for 3 yards (tackle by Avonte Maddox),0.870,0.730
2,11:23,2,7,CIN 32,0,3,"Joe Burrow pass complete short right to Tyler Boyd for 9 yards (tackle by Nathan Gerry). Penalty on Malik Jackson: Roughing the Passer, 15 yards",0.730,2.650
2,10:59,1,10,PHI 44,0,3,Joe Mixon right end for 2 yards (tackle by Avonte Maddox),2.650,2.380
2,10:46,2,8,PHI 42,0,3,Joe Burrow pass incomplete short right intended for Joe Mixon (defended by Nathan Gerry),2.380,1.690
2,10:42,3,8,PHI 42,0,3,Joe Burrow sacked by Derek Barnett for -10 yards,1.690,-0.190
2,10:03,4,18,CIN 48,0,3,"Kevin Huber punts 33 yards, fair catch by Greg Ward at PHI-19",-0.190,-0.150
