Quarter,Time,Tm,Detail,CIN,PHI
2.0,14:57,Eagles,Jake Elliott 27 yard field goal,0,3
,7:33,Bengals,Randy Bullock 48 yard field goal,3,3
,2:47,Eagles,Jake Elliott 42 yard field goal,3,6
,1:29,Bengals,Tee Higgins 1 yard pass from Joe Burrow (Randy Bullock kick),10,6
,0:16,Eagles,Greg Ward 29 yard pass from Carson Wentz (Jake Elliott kick),10,13
3.0,8:39,Eagles,Jake Elliott 54 yard field goal,10,16
,2:22,Bengals,Tee Higgins 4 yard pass from Joe Burrow (Randy Bullock kick),17,16
4.0,14:52,Bengals,Randy Bullock 31 yard field goal,20,16
,3:05,Bengals,Randy Bullock 25 yard field goal,23,16
,0:21,Eagles,Carson Wentz 7 yard rush (Jake Elliott kick),23,23
