Unnamed: 0,CIN,PHI
First Downs,24,27
Rush-Yds-TDs,18-48-0,36-172-1
Cmp-Att-Yd-TD-INT,31-44-312-2-0,29-47-225-1-2
Sacked-Yards,8-56,3-19
Net Pass Yards,256,206
Total Yards,304,378
Fumbles-Lost,0-0,2-0
Turnovers,0,2
Penalties-Yards,9-73,11-93
Third Down Conv.,3-13,10-21
Fourth Down Conv.,0-0,0-0
Time of Possession,32:16,37:44
