Unnamed: 0,MIA,JAX
First Downs,23,22
Rush-Yds-TDs,36-138-2,17-72-2
Cmp-Att-Yd-TD-INT,18-20-160-2-0,30-42-275-0-1
Sacked-Yards,1-4,4-29
Net Pass Yards,156,246
Total Yards,294,318
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,6-51,8-63
Third Down Conv.,7-13,3-10
Fourth Down Conv.,1-1,0-3
Time of Possession,34:22,25:38
