Quarter,Time,Tm,Detail,MIA,JAX
1.0,8:09,Dolphins,Preston Williams 3 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
,2:37,Dolphins,Jordan Howard 1 yard rush (Jason Sanders kick),14,0
2.0,13:04,Jaguars,James Robinson 11 yard rush (Brandon Wright kick),14,7
,5:58,Dolphins,Mike Gesicki 15 yard pass from Ryan Fitzpatrick (Jason Sanders kick),21,7
3.0,2:01,Dolphins,Ryan Fitzpatrick 1 yard rush (Jason Sanders kick),28,7
4.0,9:03,Jaguars,James Robinson 1 yard rush (Brandon Wright kick failed),28,13
,3:49,Dolphins,Jason Sanders 30 yard field goal,31,13
